ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 4.137,  3.409, 3.434, 8.0507, 11.9377, 8.870, 5.311, 3.222, 0.328,-9.8e-01, 2.5901, 5.799, 7.199,10.220, 0.060, 3.756, 1.497, 1.364, 3.458,  5.836,  7.28, 6.489, 0.322, 9.876,-27.70,  6.101,-4.424, 1.054,-1.9e-01, 11.477, 6.1195,  3.12, 2.278, 2.109, 8.32,  9.195, 1.700, 1.445,  4.0500, 6.804, 1.315,-0.250,-1.013,  3.981,  2.575,  5.054, 4.728,  7.828, 3.9838,  4.503, 2.956,  7.394,  7.5843,  7.479, 7.1053, 3.752,  8.406, 0.146, -0.6754,-0.517, 3.4650, 2.869, 0.624, 5.820, -0.484, 2.133,  0.211,  3.6178, 4.131, 1.9951, 0.594,  6.98,-15.012,-0.516,-4.57413, 1.308, -0.110, 12.4694,  3.9334,  0.51,-0.999, 2.482,  1.79,  9.57, 1.478,-1.357, 1.1847,  4.410,  3.020,  6.155,  2.663,  6.96,  7.205, -1.75,  1.62,  7.08
-1.692, -3.584, 1.195, 0.4786, -0.4161,-1.583, 0.194,-2.172,-3.043,-2.2e+00, 1.4474,-5.533,-2.782,-1.057, 0.680,-3.017,-1.503,-0.244,-0.888, -2.549, -2.25,-1.931,-4.233,-3.772, -6.49, -3.127,-2.710,-4.433,-3.7e+00, -2.777,-4.1964, -2.31,-0.816,-2.031,-1.07, -0.324,-0.951,-1.737, -2.5007,-2.649,-1.153,-4.657,-3.999, -5.948, -7.651, -7.141,-3.631, -1.132,-1.8428,  0.769, 1.232, -0.121,  3.3096,  1.014, 0.8900,-1.729, -6.593,-5.919,  0.8794,-1.990,-2.1240,-2.289,-0.612,-1.577, -0.262, 0.947, -1.087,  0.9201,-1.728, 0.1205,-4.024, -7.44, -8.570,-1.048,-3.02644,-5.694, -3.185, -3.7421, -3.2029, -6.17,-4.033, 1.315, -3.41, -1.54,-1.444,-0.541,-3.6892, -6.261,  2.025, -3.105, -4.143, -7.57, -3.016, -5.31, -9.13, -1.31
-2.385,  2.066,-0.843,-0.1920, -1.9484, 0.071, 1.700,-2.462,-1.825, 9.8e-01,-0.2700,-1.043,-0.994,-3.186, 0.374,-0.859, 0.937, 1.401, 2.015,  1.157, -0.51,-0.603, 0.197,-2.025,  4.99, -1.453,-0.420,-2.276,-5.8e-01, -1.405,-1.8711, -0.21,-0.394,-1.715, 1.04,  0.430,-1.081, 0.973,  0.0178, 1.282, 1.446, 0.969,-1.152, -0.360, -0.509,  0.890,-1.518, -2.274,-1.9986,  4.552, 0.600,  0.266,  3.4552,  1.828, 0.1586,-2.701,-10.333,-2.249,  3.9201,-1.005,-1.3151,-1.801,-2.193,-2.593,  2.710, 2.011,  1.739,  1.7619,-1.109, 1.7099,-1.560, -1.37, -0.021,-1.151,-1.61811,-3.644, -0.559, -2.9700, -1.1883, -1.43,-4.912, 0.992,  1.29,  0.13,-2.518,-0.578,-0.6003, -1.927,  2.813, -1.611,  0.082, -1.50,  3.636,  0.79, -2.78, -2.69
-3.873,  2.299,-3.395,-1.7314, -4.4025, 0.018, 2.256,-2.678, 0.652, 2.7e+00,-3.2496, 0.802,-0.034,-6.454,-0.123, 0.468, 3.539, 2.703, 1.348,  5.190,  2.80, 0.458, 4.673, 2.335, 11.94,  1.334, 2.292,-0.144, 2.8e+00,  0.921, 0.9182,  2.19,-3.878,-1.016,-0.58,  3.341,-3.609, 1.936,  4.3077, 5.632, 2.555, 6.704, 5.055,  7.451,  4.693,  7.522, 1.748, -0.294,-2.0366,  6.420, 0.586,  1.018,  2.1508, -1.407,-1.4362,-2.978,-14.195,-0.105,  3.8725,-1.968, 0.2591,-1.536,-3.246,-6.336,  6.922, 3.913,  7.012,  3.4345, 0.928, 3.0694, 2.952, 10.56,  7.234, 3.023, 1.12196, 1.599,  1.698, -0.2865,  1.9715,  3.16,-4.574, 0.970,  3.46,  5.27,-2.322,-0.714, 4.7725,  5.470,  0.938, -2.254,  5.819,  3.91,  6.805,  7.05,  6.42, -0.20
-3.621,  2.109,-4.341,-1.8163, -4.5092,-0.499, 2.311,-2.063, 2.418, 3.4e+00,-1.9288, 1.686, 0.318,-6.575,-0.101, 0.582, 4.419, 3.326, 0.952,  7.155,  3.95, 0.915, 6.444, 5.734, 18.08,  3.388, 3.399, 3.097, 6.0e+00,  2.300, 2.8538,  3.54,-4.967,-0.251,-1.34,  4.905,-4.709, 1.987,  6.2091, 7.657, 4.116, 9.138, 8.362, 12.045,  8.857, 11.761, 3.268,  2.560,-1.2577,  6.628,-0.258,  0.773,  2.4210, -3.138,-1.9671,-2.699,-13.323, 1.884,  2.4491,-2.699, 1.4853,-1.279,-2.475,-6.214,  7.082, 4.630,  8.879,  4.6143, 2.317, 3.7196, 5.698, 17.64, 12.952, 4.637, 2.62615, 6.311,  3.849,  2.1828,  4.3978,  4.96,-1.828, 1.194,  3.70,  8.12,-1.093,-0.951, 7.3156,  8.485,  2.185, -0.513,  9.093,  7.03,  7.230,  8.90, 10.47,  2.91
-0.304,  2.967,-2.337, 0.7601, -1.4650,-0.141, 0.977, 0.899, 3.109, 4.4e+00, 4.7000, 3.329, 1.749,-1.387, 0.812, 1.252, 2.731, 1.499, 1.706,  4.332,  1.77, 1.259, 4.370, 6.113, 22.79,  1.086, 2.449, 6.168, 5.8e+00,  1.732, 3.0815,  3.74, 0.054,-0.903, 0.51,  3.905,-3.828, 1.331,  3.1682, 5.725, 4.897, 4.698, 4.302,  8.640,  7.190, 10.604, 2.456,  3.041, 0.6838,  4.262,-2.649, -1.206,  2.3438, -1.066,-1.9459,-0.493, -6.613, 3.490, -0.2380,-3.247, 1.3542,-1.644,-2.119,-0.345,  0.846, 2.171,  2.765,  3.3802, 1.777, 3.2082, 4.876, 13.90, 16.533,-1.222, 2.03295, 6.955,  3.449,  2.1140,  3.8601,  3.16, 2.981, 1.304,  2.37,  5.69,-0.464,-2.649, 4.1845,  3.776,  5.299,  2.546,  7.027,  4.98,  2.733,  1.72,  5.46,  4.35
 2.546,  0.990,-0.367, 1.9284,  0.6277,-1.195,-1.791, 3.067, 2.590, 3.7e+00, 6.5391, 2.595, 2.039, 2.775, 0.532, 1.508,-0.875,-1.965,-0.310, -0.993, -1.34, 0.326, 0.228, 3.103, 17.58, -2.962, 1.608, 5.457, 1.8e+00, -0.040, 1.1994,  1.75, 3.600,-2.487, 1.23,  1.078,-3.255,-0.176, -0.9380, 1.494, 2.437,-2.491,-1.683,  2.216,  0.529,  3.210,-0.064,  1.127, 1.8929, -0.113,-3.583, -2.729,  0.4810, -0.129,-2.6915, 1.669, -5.520, 2.227, -0.4870,-2.733, 0.2399,-1.836,-2.952, 2.043, -5.244,-1.394, -3.799,  0.3285, 0.089, 0.9837, 2.143,  5.60, 13.728,-6.045, 1.26486, 4.602,  0.388, -0.2381,  0.5611, -0.61, 6.156, 1.053,  1.43,  0.46,-1.501,-3.733,-0.1923, -1.645,  4.325, -0.303,  1.265, -1.20, -4.092, -6.30, -1.91,  3.09
 2.789, -3.009,-0.643,-0.3887, -0.1275,-5.003,-4.895, 1.983, 0.568,-3.9e-01, 0.2879,-2.246,-1.345, 2.183,-2.281,-0.704,-5.288,-5.130,-5.705, -5.064, -4.10,-2.933,-4.683,-3.627,  3.82, -4.942, 3.390, 1.689,-1.6e+00, -2.743,-2.9352, -3.61, 2.341,-3.286, 2.16, -2.839,-3.188,-2.310, -2.6883,-2.905,-2.062,-7.051,-5.382, -0.630, -3.355, -7.274,-4.310, -2.518, 1.3355, -3.347,-1.969, -2.637, -1.0485, -1.553,-3.2332, 1.403,-15.709,-0.853,  4.5849, 0.052,-1.1546,-1.011,-3.848,-2.602, -7.052,-3.916, -4.716, -3.1491,-1.182,-2.8298,-2.231, -2.92,  3.819,-4.763, 2.45237, 1.931, -1.242, -4.0555, -4.2353, -5.33, 6.791, 1.049,  4.43, -4.76,-4.304,-2.489,-1.5723, -3.296,  1.522, -7.636, -4.929, -7.68, -7.519, -6.96, -7.40, -1.55
 1.849, -4.707,-1.171,-1.8989, -0.8825,-6.307,-5.544, 0.288,-0.652,-2.8e+00,-3.3967,-5.299,-4.178, 0.758,-3.476,-3.125,-6.983,-6.484,-7.884, -5.635, -4.82,-5.180,-7.344,-8.263, -1.67, -4.551, 4.828, 0.586,-1.1e+00, -3.705,-5.5502, -7.36, 0.596,-2.553, 2.79, -4.688,-3.194,-3.195, -2.5925,-5.381,-3.972,-6.924,-5.405, -1.452, -3.125,-11.896,-6.981, -5.453, 0.7433, -2.997,-0.395, -1.715, -0.9134, -1.626,-2.2223, 0.485,-19.752,-2.809,  7.1077, 2.454,-1.9839,-0.364,-3.518,-6.451, -5.735,-4.750, -2.056, -4.4743,-0.890,-4.7436,-4.985, -8.27, -0.683,-2.364, 3.80070, 1.355, -0.043, -5.7771, -6.3824, -7.93, 5.331, 0.971,  5.30, -6.76,-5.953,-0.751,-1.7494, -3.028, -0.087, -9.374, -6.617, -7.97, -5.472, -3.55,-10.37, -5.16
 0.738, -3.947,-0.415,-0.4201, -0.4727,-2.237,-2.904, 0.295,-0.171,-1.4e+00,-0.2062,-4.254,-3.553, 0.873,-0.564,-4.257,-5.267,-5.985,-4.687, -4.180, -3.47,-4.702,-7.228,-8.631,  1.92, -3.361, 2.945, 2.072, 2.7e-01, -1.836,-4.8595, -6.68, 0.596, 0.350, 0.91, -3.577,-2.731,-1.972, -2.4015,-7.283,-1.287,-4.404,-2.183, -4.474, -4.234, -8.766,-7.171, -5.625, 1.1989, -1.110, 0.600,  0.034,  1.2300,  0.724,-0.1728, 0.588, -8.976,-4.932,  3.7085, 2.670,-2.3979,-0.380,-1.339,-5.262, -2.832,-4.337,  0.736, -2.7335,-0.485,-3.6450,-4.691,-11.08,  3.055,-1.771, 3.21331, 1.891,  0.918, -4.1512, -4.6273, -7.89, 2.183, 1.739, -1.62, -6.39,-3.122, 0.888,-3.8421, -3.484, -1.495, -5.311, -4.136, -4.21, -0.712, -1.09,-13.10, -5.30
