ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 -1.084,-1.188, 6.594,-1.130, 8.9e+00,  3.304, 3.249,  7.616,  7.144, -1.745, -0.70,  1.998, 1.4e+01, -3.2308, 6.533,  5.186, 1.214, 0.6743, 2.940, 6.907,  6.242, 2.66,  5.6242, 12.2346,-16.812,  8.1253, 1.1246,  1.684,  6.159,  6.306, 3.553,  2.119,  5.257, 5.810,-0.906,  9.590,-2.691, -0.7232,  4.228,  5.659,-0.755,-0.043, 1.005, 16.245,-0.220, 9.1553,  9.655,  2.018, 2.127, 4.9214, 7.5257,  1.152, 2.853,  7.46, 2.469, 12.889, 1.387,-0.129,-1.844, -5.147,-1.907, 1.0309,  2.210, -1.815, 1.743, 3.7955,  4.626,  8.440, -0.701, 1.0328, 0.340, 16.058, -7.218, 0.885,  0.217, 1.610, 2.1149,  7.45, 2.427,  3.73, 6.8458,-3.0973,-0.844, 10.7931, 1.608,-3.4456, 5.530,  9.328, 4.512, 3.863, 8.822, -4.286, -2.226,  3.404, 10.184,  2.164
 -2.520,-0.925, 1.633, 0.124, 1.3e+00, -0.907,-0.398, -0.300,  0.691,  1.743, -1.93,  0.289,-4.2e-01, -3.5367,-0.491,  1.208,-0.688,-0.9630,-1.266,-0.518,  2.200,-0.54, -1.6441, -2.7596, -7.078, -0.6018, 0.5515, -3.020, -1.992,  0.954, 0.059, -2.534,  1.166,-2.257,-2.166, -1.735,-2.295, -1.9669, -2.509, -2.917,-0.429,-0.327,-1.838, -2.366,-2.339, 0.3057, -3.449, -3.433, 4.550,-2.2268, 2.7295,  2.277, 3.194,  1.26,-0.834,  1.066, 0.419, 0.766,-0.797, -2.923,-3.968, 1.7271, -6.560, -4.067,-0.527,-1.5212, -4.167, -2.947, -1.792,-1.5512,-3.846,  0.238, -8.345,-1.884,  0.505,-1.405,-2.6440, -0.33,-0.277, -1.56, 1.0545,-2.5952,-0.509,  0.3155,-4.294,-4.8715,-2.784, -0.154, 1.855,-0.142,-2.794, -2.017, -6.747, -3.742, -5.379, -3.272
 -8.589, 1.220,-0.141,-0.367,-9.7e-02,  0.966,-0.057,  4.267,  1.471,  0.919,  1.07,  5.415, 1.5e+00,  1.1985, 0.014,  3.470,-0.093,-1.2551,-0.331, 0.269,  3.493, 0.88,  1.3218, -3.7667,  3.574,  1.6782,-0.9015, -3.574, -2.012, -0.257,-0.348, -0.751,  6.101, 1.662, 0.910, -3.250, 0.894, -0.3413, -0.641,  0.617,-2.450,-2.931,-2.234,  0.754,-0.797, 0.7163, -1.993, -0.083, 0.883,-4.8050, 0.5148,  0.972, 0.671, -1.29,-2.258, -0.866, 1.554,-1.457, 0.458, -5.356,-1.526,-0.1698,  1.410, -3.995,-2.641,-0.1935, -5.817, -4.971, -2.038,-1.2559, 0.139, -1.932,  0.039,-4.449, -0.874, 0.387,-2.9008, -3.19,-2.169, -0.28,-4.2406,-4.2515,-0.452, -0.2892,-6.244, 1.1414,-1.054,  0.256,-0.482,-0.537,-0.375, -0.058, -4.719, -2.725, -4.877,  4.198
 -5.794, 2.582,-2.079,-0.659, 1.2e+00,  2.048,-0.282,  5.200,  2.177,  1.209,  3.25,  5.946, 2.0e+00,  4.5917,-0.040,  2.267, 0.118,-0.8551, 0.056, 0.075,  2.299,-0.29,  0.8777, -0.3257,  5.361,  1.4810,-0.2809, -1.262,  0.386, -2.285,-0.773, -1.813,  7.050, 4.817, 2.600, -2.861, 1.290, -0.9048,  0.417, -1.193,-1.716,-1.508, 1.283,  1.415, 2.804, 1.3408, -0.036, -1.926,-0.356,-1.6648,-1.2634, -0.263, 1.556,  0.91,-1.585, -1.187,-0.927, 2.512,-1.239, -3.316, 2.528,-0.7742,  4.934, -2.021,-1.333,-0.6874, -1.994, -2.081,  0.789,-1.5122, 2.189,  0.290,  1.095,-2.365, -0.846, 0.212,-0.2035, -3.19,-1.864,  2.59,-4.3426, 0.2328,-0.255, -0.4069,-3.929, 2.7706, 0.086, -1.300, 2.156, 4.348, 2.689,  1.798,  5.837,  1.045, -1.763,  3.904
 -1.793, 0.728,-3.945,-0.681, 1.2e+00, -0.501,-0.766,  2.426, -0.197, -1.003,  2.41,  2.360,-1.6e+00,  4.0632, 0.331, -3.667,-0.013, 0.5189,-0.388,-1.039, -0.067,-1.39, -3.3248,  1.5019,  0.591,  0.0670, 1.0219,  0.303,  1.007, -2.770,-1.487, -2.656,  2.416, 2.920, 0.901, -0.575, 0.150, -1.2634,  0.682, -6.199,-0.518, 0.412, 3.196, -0.693, 2.867, 0.9123,  1.315, -4.354,-1.175, 0.9088,-3.0899, -1.217, 1.876,  0.42,-0.154, -2.111,-3.818, 2.845,-4.597,  1.130, 4.675,-1.6854,  1.273,  0.432, 0.530,-1.2379,  1.555,  1.078,  3.157,-0.8507, 2.239,  2.444, -3.587, 1.317,  0.187,-1.450, 1.1545, -1.89,-0.302,  3.04,-2.1929, 3.0001,-1.561, -0.0663, 2.964, 1.5065, 1.140, -2.231, 1.983, 4.344, 1.771,  1.105,  7.681,  2.135,  0.867, -0.979
 -1.634,-2.935,-5.818,-2.331,-3.7e+00, -6.108,-1.247, -0.924, -5.992, -7.225, -0.30, -1.633,-8.4e+00,  0.0062, 0.547, -9.075,-0.917, 1.3991,-1.965,-3.356, -2.767,-0.35, -7.6114, -2.0485, -5.452, -0.8346,-0.7741, -1.933, -2.119, -1.939,-2.590, -0.919, -5.246,-0.459,-1.970,  2.893,-0.437, -0.0249,  1.159, -8.038,-2.417,-1.903,-0.274, -3.343,-2.128,-0.9721,  0.635, -2.184,-3.297,-2.2206,-6.3728, -1.806,-0.159, -5.43,-0.221, -4.135,-4.687,-3.581,-5.203,  5.408, 4.612,-4.0831, -2.959,  3.351,-0.377,-0.8398, -0.034,  0.651,  2.550, 1.5900, 3.394,  0.169, -8.221, 2.643, -0.937,-2.378,-0.6542, -2.21, 0.599,  0.69,-1.5296, 0.3221,-1.600,  0.0106, 9.704, 2.6557, 3.989,  0.566,-3.445,-4.138,-3.855,  0.479, -2.422, -2.713,  1.413, -3.622
 -1.832,-4.462,-4.950,-3.466,-6.2e+00, -8.711,-1.480, -2.372, -6.901, -8.249, -0.67, -5.505,-1.1e+01, -2.7612,-0.265,-10.974,-1.522, 1.3518,-3.049,-4.492, -3.725, 0.26, -8.5104, -3.2541, -8.833, -1.1210,-1.6951, -2.153, -3.510, -1.519,-2.639,  0.919,-10.167,-1.649,-3.156,  5.217, 0.066,  0.2507,  1.861, -6.179,-2.990,-3.059,-1.629, -2.589,-4.289,-1.7811,  0.151,  1.209,-3.635,-3.4848,-5.6763, -1.502,-0.620, -6.13,-1.080, -3.382,-4.627,-5.925,-1.890,  7.328, 3.416,-3.7392, -4.151,  5.246,-1.683,-0.8413, -1.842, -0.302,  1.442, 2.8074, 4.036, -1.451, -9.035, 2.062, -0.810,-2.974,-2.2798, -2.35, 1.368, -0.53, 1.2390,-1.3884,-0.259,  0.2453, 9.860, 3.6479, 5.100,  3.821,-5.429,-8.580,-6.835,  0.919, -7.379, -5.668,  2.122, -3.424
  0.597,-4.541, 0.042,-0.812,-2.0e+00, -7.003,-1.066, -4.387,  1.122, -0.015,  1.64,-12.399,-5.9e+00, -3.6016,-0.888,-14.640,-1.036, 1.8528,-2.117,-2.989, -1.558,-0.58, -7.1980,  2.1713, -4.614, -1.3545, 2.6478,  5.085,  0.384, -0.295,-0.308,  1.857,-12.652,-4.476,-3.331,  6.582, 0.379, -0.3808,  2.494, -2.507, 1.401, 2.587, 4.078,  3.716,-0.523, 0.0632,  2.262,  3.872,-0.225, 3.8463, 2.1838, -0.390, 2.520,  3.47,-0.790,  2.593,-2.237,-1.170, 4.232,  9.674, 1.564, 1.4363, -5.353,  6.673,-0.527,-1.7157,  0.342,  0.970,  1.129, 1.4488, 2.617,  2.220, -3.127, 1.836,  5.816,-4.700,-1.7527,  1.07, 3.803,  0.41,10.9631, 2.4315, 1.170,  2.5459, 5.038, 2.3317, 3.012,  6.099,-1.956,-5.349,-5.332,  4.452, -2.858, -1.453,  5.007, -2.915
  1.830,-3.713, 2.583, 2.093, 2.2e+00, -3.395,-0.372, -4.549,  8.198,  7.191,  3.94,-13.728,-6.7e-01, -2.5951, 0.429,-15.978,-0.026, 2.4614, 0.174,-0.423,  1.219,-0.92, -4.0694,  7.7063,  3.393, -1.9779, 5.3284, 10.458,  3.762,  1.583, 2.075,  4.132,-11.569,-6.791,-3.216,  7.281, 1.072,  0.7078,  2.943,  0.435, 4.774, 7.477, 8.530,  8.767, 3.043, 2.2716,  5.039,  6.735, 1.053, 9.7060, 6.5649, -0.089, 3.976, 10.36,-0.088,  6.195, 0.342, 3.363, 7.421, 11.624, 0.749, 4.2104, -5.046,  5.608, 1.011,-2.1393,  2.691,  3.188,  2.478,-0.0428, 2.320,  6.342,  3.810, 1.059,  9.861,-4.767,-0.5083,  4.75, 4.940,  3.79,15.6169, 6.6739, 0.976,  5.3166, 3.344, 0.6798, 0.289,  6.826, 0.078,-1.966,-2.687,  6.553,  1.669,  3.611,  7.587, -0.065
 -0.443, 0.938,-1.370, 2.041, 3.7e+00,  2.868,-0.131,  2.870, 10.241,  9.082,  6.80, -2.595, 2.4e+00,  3.0390, 2.177, -7.296, 1.247, 1.1887, 2.826, 2.466,  3.232,-0.85,  2.3645, 10.6620,  9.326, -3.1327, 2.0270,  6.249,  2.634,  1.942, 2.414,  8.724, -2.053,-2.780,-1.960,  7.070, 4.290,  2.5721,  3.313,  2.929, 4.800, 6.466, 6.260,  7.592, 4.110, 2.8314,  7.206,  8.642,-2.539, 6.1603, 1.3934, -1.209,-0.057,  6.35,-0.536,  1.903, 0.396, 5.605, 4.379,  7.335, 1.318, 0.9289, -0.877, -1.374, 0.587,-2.1402,  1.907,  4.972,  6.648,-0.7120, 4.427,  8.040,  5.719,-1.805,  3.903,-0.688, 0.4948,  4.85, 1.892, 10.13, 5.6808, 6.5771,-1.675,  6.9160, 5.059,-1.6530,-2.989,  5.860,-0.428, 0.660, 0.620,  0.340,  4.162,  5.114,  8.209,  8.011
