ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
-0.0714, 0.236,-0.530,-1.471, -7.380,  2.410,-0.252,-5.436, -0.836, 3.47425,-10.813, 0.897,  0.277,-6.607, 1.821, 0.913, 0.21875,-2.362,-0.8831,-0.71007,-1.323, -1.640,  0.466, -3.45, -4.09, 1.9519, -1.862,  0.4332,  1.366,-3.080, -5.039, -3.8200,-0.980, -1.984,  4.315,-0.7216, -4.139,  2.022,-2.22878,  0.308, 0.07647,-0.098,  1.594,  0.479,-0.437,  1.325, -1.907,  3.22, 1.9e-02,  1.3460,-0.646, -1.906, -2.046, -1.21, 0.166,-0.230,-0.548,-1.228,-2.821, 3.3e+00,-2.3930,  1.634,-1.382,-2.084,-0.015,-1.695, -5.23, -4.277, -3.347,-2.925,-4.125,-2.1481,  1.30, 2.0683,-5.195, -1.924, -1.652, -1.505, -4.284, -3.376,  3.294,  0.94, -2.360, 0.5932, 1.7475,-1.3804,-3.050, -5.23, -2.768,-1.3647,  0.4051, -6.49, -1.637, -2.919, -7.160, -0.323
 3.1688, 0.762, 0.496, 1.966,  0.861,  5.289,-0.535,-0.080, -2.594, 6.04340,-16.048, 3.142,  2.739,-4.218, 5.747, 1.848, 1.51025, 2.147, 4.8784, 3.29058, 1.305,  2.431, -0.287, -0.24,  6.84,-1.3939,  0.333,  2.6539,  3.330, 1.413,  0.230, -1.0981, 4.235,  4.329, -0.169, 0.1137,  3.529,  2.291,-0.35230,  0.492, 2.12867,-0.110,  1.026,  5.927, 3.529,  6.018, -0.480,  4.74, 3.6e+00,  3.0174,-0.262,  1.311, -0.426,  0.98,-0.558, 1.804, 0.788,-2.362,-0.632, 1.1e+00,-1.1518, -0.402, 0.180,-2.635,-0.522, 2.140,  3.55, -1.083, -0.189, 2.950, 1.523,-2.7534,  8.13,-3.1619, 0.042,  3.514,  2.207, -0.274, -0.664,  3.179,  2.498,  1.68, -0.864,-4.2435, 1.8682,-0.7145,-0.407, -0.55,  1.353, 0.3186, -2.6296,  0.77,  1.129,  1.619, -0.137,  3.428
 5.0211,-1.310, 1.773, 6.343,  3.809,  4.754,-0.210, 6.457,  4.069, 6.57110,  5.754, 7.379, 10.094, 0.566, 3.684, 3.100, 0.96416, 1.192,-0.5406, 2.51007, 5.878,  6.833,  3.114,  0.22,  9.91,-1.3776,  1.970,  3.7534,  1.541, 6.292,  7.566,  1.1842, 5.252,  5.498,  3.723, 2.9331,  3.033,  3.066, 1.69324,  7.773, 0.74704,-0.881, -4.385,  3.878, 2.335,  2.076,  1.016,  6.50, 5.0e+00,  0.4386, 0.779,  3.729, -0.178,  0.51,-0.839, 2.355, 3.610,-0.547, 0.739, 2.0e+00, 1.8899,  0.422, 1.079,-1.273,-1.021, 0.282, -3.95, -2.356,  4.465, 5.850, 4.859,-0.8078,  9.15,-6.1037,-0.162,  4.591,  0.581,  4.984,  4.766,  4.402,  2.325,  0.97,  3.935,-0.4886, 2.3989,-0.8036, 1.380,  4.64, -1.942,-1.5885, -2.9285,  1.06,  0.430,  1.361,  1.505,  6.345
 3.1143,-2.307, 0.739, 3.413, -4.143, -0.106, 0.992, 1.422, -1.193, 3.28304, -1.004, 4.763,  5.594,-0.757, 3.061, 3.994, 1.17027, 2.729,-1.7343, 1.37154, 5.638,  9.365,  4.986,  2.44,  6.03, 1.3043,  2.831,  3.8688,  2.791,10.356, 11.773,  1.5808,-0.575,  0.865,  9.848, 5.0310,  2.473,  5.235, 3.96545,  9.895,-1.01477,-1.172, -3.374,  0.116, 2.360,  4.629,  4.553,  4.10, 1.7e+00, -1.9317,-0.100,  4.611, -4.109, -1.71,-0.662, 1.682,-2.542,-0.775, 1.592,-1.5e+00,-0.1516, -1.350, 2.552, 1.747,-1.816,-0.613, -6.83, -2.260,  5.833, 5.424, 5.693, 2.0910,  2.23,-4.2847, 1.083,  3.346, -0.559, 11.292, 10.168,  3.433, -2.686, -1.62,  9.090, 7.1840, 1.1821, 1.6246, 3.322,  9.12, -6.230,-3.5155, -3.8748, -1.05, -3.623, -0.849,  3.121,  3.714
-0.6598,-1.150,-0.481,-1.104,-11.008, -5.004, 1.408,-6.183, -6.527,-1.90093,-10.202,-0.392, -1.051,-3.119, 1.157, 1.253, 0.84402, 3.188,-1.4213, 0.57137, 3.257,  6.203,  0.710,  2.64, -3.16, 3.5578, -0.943,  1.7215,  2.774, 8.907,  9.934, -0.4851,-5.822, -5.420,  8.025, 3.7373,  0.394,  2.991, 3.62594,  4.020,-1.73917,-0.619, -1.289, -6.477, 0.774,  4.807,  4.044, -4.26,-4.3e+00, -4.1849,-1.760,  1.219, -7.769, -5.45,-0.889,-1.944,-8.972,-1.696,-1.037,-8.8e+00,-3.6001, -4.700, 2.825, 2.206,-2.301,-1.389, -7.76, -2.204,  2.396, 2.114, 2.494, 3.2825, -7.94,-2.2628,-1.061, -0.826, -2.157,  9.389,  9.908, -0.089, -9.419, -6.19,  6.474,10.0981,-1.3097, 3.7267, 3.323,  5.31, -4.619,-2.1139, -4.2374, -5.42, -8.537, -4.700,  1.799, -2.643
-4.2851,-0.267,-0.601,-3.318,-10.344, -4.384,-0.419,-9.695, -5.567,-6.31441, -7.685,-1.671, -2.627,-2.187,-1.032,-5.462,-1.81168,-1.707,-3.7364,-1.57088,-1.466, -4.096, -8.994, -1.83,-14.91, 3.2609, -8.580, -4.0312, -2.773,-1.318, -1.097, -5.9890,-5.936,-11.460, -3.326,-1.8555, -3.503, -5.426,-3.16744, -9.324,-2.36768,-1.962, -5.440,-12.367,-4.476, -3.353, -3.699,-13.22,-1.1e+01, -8.5538,-3.197, -7.306, -9.417,-11.28,-3.070,-7.919,-9.429,-2.556,-6.465,-1.6e+01,-5.7703, -6.159,-1.150,-2.487,-3.700,-5.496,-11.65, -6.645, -7.086,-4.922,-4.516, 0.2973,-16.12,-4.0415,-5.838, -8.862, -5.795, -3.886, -1.124, -7.721,-14.912,-10.30, -2.276, 4.0194,-5.9274, 2.1893,-0.980, -7.23,  0.865, 0.4874, -7.3422,-13.71,-12.849,-11.461, -4.135, -9.127
-6.2671,-1.972,-0.828,-3.502, -8.783, -3.531,-2.487,-8.502, -2.838,-8.80400, -1.900, 0.468, -1.351, 0.287,-1.718,-8.834,-4.81292,-6.095,-6.3474,-4.27653,-4.196,-11.100,-14.249, -5.64,-20.69, 1.2702,-11.598, -8.7511, -8.610,-9.647,-10.495, -9.9951,-4.185,-13.969,-10.191,-6.9970, -4.833,-10.772,-8.13843,-17.967,-4.40744,-5.470,-10.876,-13.221,-9.013,-10.813, -9.968,-16.10,-1.3e+01,-12.4136,-3.877,-11.623,-10.103,-13.89,-5.733,-9.889,-6.710,-3.437,-7.509,-1.7e+01,-5.5010, -4.674,-4.215,-5.575,-6.026,-9.598,-15.34,-10.131,-11.927,-9.623,-8.993,-2.6889,-18.22,-7.4474,-7.716,-13.850, -9.398,-13.614,-10.361,-13.477,-15.983,-11.05, -7.891,-3.0830,-7.8977, 0.2656,-4.390,-14.27,  1.296,-0.9905,-12.8197,-18.28,-15.210,-16.371, -8.481,-11.839
-6.2317,-3.811,-1.052,-2.368, -9.685, -7.561,-2.113,-5.222, -0.993,-9.61437,  1.245, 2.804,  0.168, 2.270,-2.094,-6.032,-4.92753,-4.180,-5.2090,-4.03258,-0.904, -7.946,-11.256, -4.29,-18.26,-1.0782, -7.903, -9.0670,-10.480,-8.145, -8.998, -6.4624,-2.574,-12.545, -7.824,-6.9348, -1.135,-10.054,-5.80220,-15.472,-6.45673,-7.659, -9.787,-10.238,-6.903, -8.446, -7.616,-13.15,-9.7e+00,-11.8827,-3.529, -6.980,-10.617,-10.34,-6.376,-6.488,-3.422,-3.902,-2.762,-1.4e+01,-2.8012, -1.657,-2.822,-2.483,-7.146,-8.680,-13.59, -7.001, -5.773,-5.860,-7.083,-1.9131,-15.25,-8.6859,-5.452,-11.583,-10.420,-11.429, -7.429,-10.150,-11.859, -9.06, -8.377,-5.0694,-4.9462, 1.0031,-2.640,-10.05, -1.576,-3.7045,-13.1020,-15.03,-13.358,-14.567, -6.549, -9.735
-4.5394,-3.704,-0.290,-0.917, -9.360,-10.140,-0.744,-4.756, -1.537,-8.86976, -1.438, 2.935,  1.000, 1.892,-1.933,-2.802,-2.84855,-0.527,-1.8689,-0.95273, 3.441, -1.662, -7.171, -3.02,-15.25,-1.8867, -5.364, -7.3261, -9.464,-3.902, -3.176, -2.5093,-1.994,-11.224, -4.226,-4.6569,  1.265, -8.089,-2.89940,-10.592,-6.22221,-7.064, -5.646, -7.860,-1.290, -0.725, -3.715, -9.43,-5.5e+00, -9.3987,-2.374, -1.231,-10.395, -6.91,-5.220,-4.461,-1.696,-3.381,-0.283,-1.1e+01,-0.7686, -0.648,-1.507, 0.361,-5.930,-5.672, -9.29, -2.652,  1.615, 0.133,-3.997,-0.9533,-13.04,-8.2397,-3.605, -8.114, -9.503, -6.215, -0.849, -4.804, -8.720, -7.43, -5.874,-4.1249,-2.8977, 2.4380,-0.606, -5.00, -3.842,-3.0748, -9.4099,-11.16, -9.507, -9.889, -3.991, -6.184
-1.5281,-3.566, 0.413,-0.265, -7.239, -5.925,-1.022,-7.410, -4.938,-6.50039,-12.328, 1.215,  1.636,-1.112, 1.300,-1.210,-0.93834, 0.223, 0.4159, 1.19994, 3.483,  1.369, -5.406, -5.52,-13.53,-0.2003, -5.210, -5.5508, -7.296,-3.195, -0.239, -5.1362,-3.385,-10.062, -3.148,-5.5214,  0.010, -5.386,-2.84156, -8.973,-4.07505,-5.589, -3.829, -4.857, 2.179,  5.365, -4.961, -6.57,-3.2e+00, -7.6836,-1.329,  0.644, -8.717, -7.33,-3.954,-5.040,-1.854,-2.152,-2.343,-1.1e+01,-0.6424, -2.176,-2.268,-1.113,-3.729,-4.263, -7.22, -2.165,  3.937, 1.444,-3.723,-2.6199,-11.90,-8.0008,-3.606, -6.802, -8.271, -4.462,  1.342, -4.593, -8.951, -5.54, -1.834,-5.0467,-3.7215, 3.0644,-1.982, -4.40, -6.183,-1.6032, -7.1040, -8.01, -5.903, -6.249, -5.034, -3.236
