ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 0.043,-2.611, 0.15903, 0.81984,-0.709, 0.558, 1.2656,-2.6229,-1.834,-0.1367, -1.48, 0.708, 0.938,-1.602,-0.9136, 0.381, 1.7120, 2.5134, 2.0081, 1.519,-2.2487, 1.182, 2.1686,-0.927,-4.695, 0.936, 0.5765,-0.0141,-2.406, 7.635, 2.401,-1.750,-1.386, 1.9080, 0.859, 0.022,-0.696, 0.6422, 0.7855, 1.554, 2.719,-0.841,-6.105, -5.235,-6.957,-1.616,-2.202,-1.365, 0.155,-0.8284, 0.629, 2.227, 1.866,-1.852, 0.965,-4.377,-3.8174, -5.971, -5.7353, 0.326, 1.8867, 0.296, 1.39, 2.082, 2.4672, 4.6273, 3.360, 1.481, 0.6433, 3.867, 3.4765,  0.69,-5.0991, 0.629,-1.40890, 0.033,-4.124, 4.8992, 2.238,-4.2142, 0.8398,-1.986,12.717,-0.862,  1.416,-2.651,-0.243,  3.216, 1.1344,-3.818,-1.99623, -9.378,-9.6648,-6.602, -3.254,-1.417
 0.950, 0.816, 0.46108, 0.80236, 0.682, 0.474, 2.3527, 2.8421, 4.132, 5.4014,  5.52, 2.334, 1.731, 7.423, 0.3018, 2.989, 1.5029, 1.1463, 1.3961,-0.502,-1.0864, 2.572, 3.3793, 2.281, 3.588, 1.354,-0.4184, 1.8443, 2.446, 2.121, 1.754, 4.151, 2.218, 0.4145, 0.582, 3.410, 2.190, 0.3260, 1.6481, 3.302, 1.813, 0.551, 2.181,  6.267, 2.052, 2.613, 4.238, 3.003, 1.104, 1.2829, 0.157,-1.132, 0.298, 2.670, 2.332, 2.466, 2.0328,  5.008, -8.2155, 1.429, 3.3639, 0.224,-1.95, 1.507, 1.3156, 1.7755, 1.858, 1.543,-1.3674, 3.361, 3.5362,  1.09, 0.1297, 2.475, 1.82991, 1.338, 2.018, 1.4074, 0.746, 3.4176, 3.0868, 0.674,-1.060, 2.054,  1.781,-0.063, 2.026,  4.177,-1.1463, 3.545, 4.25422,  7.382, 0.2667, 4.660,  3.408, 2.784
 0.769, 0.490, 0.49410, 1.23332,-0.546,-0.218, 2.7402, 4.1568, 2.926, 5.3920,  7.01, 2.341, 2.423, 6.380, 0.2091, 2.574, 1.6748, 1.5593, 2.7540,-0.282, 0.7818, 2.461, 3.6286, 2.532, 3.753, 1.722, 0.2353, 1.7735, 2.591, 1.189, 2.738, 4.994, 2.815,-1.7528,-0.269, 3.615, 0.622,-0.0217, 0.7644, 3.974, 1.080,-0.183, 1.492,  8.721, 6.346, 4.584, 5.411, 1.089, 1.459, 2.8410,-0.089,-0.018, 0.515, 2.300, 2.034, 2.453, 0.2986,  5.015,-10.8725, 1.356, 3.5112, 0.223,-1.62, 1.671, 0.9182, 0.7219, 1.493, 2.226,-0.1114, 3.253, 3.0777,  1.40, 0.9396, 2.798, 1.15769, 0.832, 1.725, 1.6467, 1.976, 3.4763, 4.0360,-1.452, 0.164, 0.860,  0.916,-0.421, 1.541,  4.742,-0.7538, 3.139, 3.54916,  7.412, 2.3767, 5.634,  4.262, 1.454
 0.016, 0.735, 1.07544, 0.56842,-1.384,-1.568, 2.5639, 2.5493, 0.985, 3.1350,  8.62, 0.639, 3.427, 6.694,-0.2187, 3.265, 1.8167, 1.4045, 4.8692, 0.437, 1.8211, 3.772, 4.3614, 4.121, 1.664, 2.623, 0.2429, 2.0533, 1.070, 0.573, 3.500, 6.076,-3.924,-1.0012, 0.524, 3.621, 1.477, 1.0902, 0.5276, 5.143, 0.099, 1.080, 3.258,  7.313, 7.004, 6.572, 7.164, 4.676, 2.834, 2.0946, 0.802, 2.816, 0.804, 5.925, 3.241, 2.993, 2.8533,  4.512, -5.7245, 0.884, 5.1372, 0.398,-0.37, 2.821, 1.1495, 1.2581, 0.796, 3.789, 1.8684, 5.680, 5.5141,  3.34, 1.0754, 3.732,-0.00015,-0.286,-0.216, 2.8677, 4.119, 5.7068, 2.8627,-0.925,-0.455, 1.180,  2.659, 0.916, 2.323,  6.119, 1.5208, 4.053, 4.06484,  3.686, 0.5302, 6.314,  8.677, 4.898
-0.652, 1.342, 0.74712,-1.19050,-2.526,-2.684, 1.6246, 1.3228,-0.983, 0.4644,  9.19,-1.074, 3.776, 6.069,-0.2021, 3.144, 1.1880, 0.1790, 5.4611, 0.354, 1.5904, 3.683, 4.1339, 4.296,-0.176, 2.547,-0.3116, 2.0607, 0.467,-0.862, 2.477, 5.308,-6.137, 0.5618, 2.023, 2.510, 3.229, 1.8448, 0.7993, 4.960,-0.945, 1.964, 4.747,  4.475, 4.507, 6.917, 6.802, 7.588, 3.212, 1.5841, 0.992, 3.501, 0.638, 8.372, 3.733, 3.629, 4.6143,  2.951, -0.8981, 0.555, 5.8960, 0.390, 0.39, 3.445, 1.0364, 0.9582, 0.336, 4.220, 2.0363, 6.131, 6.7679,  4.06, 0.5947, 3.646,-0.37404,-1.530,-1.201, 2.4476, 4.276, 6.8557, 1.7524, 0.526, 0.478, 1.022,  3.388, 2.438, 3.025,  5.867, 2.8076, 4.514, 3.41654,  0.365,-1.8490, 4.230, 10.237, 7.183
-0.628, 1.696,-0.76149,-2.46564,-3.719,-3.305, 0.6805, 0.7571,-2.653,-2.3053,  7.12,-2.142, 2.910, 2.984, 0.0085, 1.456, 0.4857,-0.6084, 4.2821,-0.606, 0.7165, 0.945, 2.0964, 1.854,-2.175, 1.566,-0.9546, 1.1070, 1.256,-3.318,-0.469, 1.595,-2.006, 1.3676, 2.254,-0.065, 3.788, 1.4162, 1.2539, 2.599,-0.813, 1.429, 4.153,  0.483, 0.289, 4.346, 2.331, 5.756, 2.151, 1.8197, 0.200, 1.031,-0.038, 6.700, 2.448, 2.655, 2.7489,  0.099, -0.0025, 0.252, 4.6680, 0.522, 0.21, 2.624, 1.4198,-0.8021, 0.578, 2.959, 0.1906, 2.197, 5.1128,  2.06,-0.7207, 1.878,-0.56708,-2.206,-0.086, 0.0934, 1.656, 5.0319, 0.6766, 1.204, 3.129,-0.218,  1.044, 2.322, 2.440,  2.475, 1.6992, 3.769, 1.46062, -2.080,-3.8736,-1.214,  4.823, 4.954
-0.304, 2.121,-1.54636,-2.15467,-3.894,-3.221, 0.4065, 0.0889,-3.892,-4.5680,  4.15,-2.834, 1.533, 0.931, 0.3008, 0.274, 0.5472,-0.5471, 3.2343,-1.022, 0.5179,-1.203, 0.4476,-0.351,-3.239, 1.081,-1.2526, 0.2375, 1.976,-4.287,-2.169,-1.682, 0.384, 1.5525, 2.325,-1.675, 2.054, 1.0956, 1.9078, 1.021, 0.337, 0.821, 2.872, -1.975,-1.647, 1.451,-1.585, 2.717, 1.347, 1.7593, 0.030,-0.617,-0.125, 4.423, 1.338, 1.270, 0.8122, -2.006,  1.1987,-0.370, 3.2709, 0.733, 0.44, 1.373, 1.9072,-1.7675, 0.858, 1.680,-0.8108,-1.050, 3.0433,  0.47,-1.0221, 0.483,-0.77922,-1.667, 1.050,-0.9783,-0.220, 2.1010,-0.4390, 0.911, 4.586,-0.733, -1.142, 1.631, 1.771, -0.319, 1.2458, 2.780, 0.24827, -2.220,-3.8470,-4.012, -0.229, 2.244
 0.095, 2.506,-0.69933,-0.83241,-2.289,-2.237, 0.7919,-0.9653,-4.149,-5.1176,  3.17,-2.788, 0.340, 2.044, 1.0093, 0.483, 1.0310,-0.6458, 2.4831,-0.397, 1.6034,-0.681, 0.5805,-0.604,-1.248, 1.458,-1.3869, 0.6076, 2.831,-1.308,-0.525,-1.609, 0.741, 1.5851, 3.230,-0.412,-1.611, 1.2903, 3.1489, 2.021, 0.669, 0.018, 2.096, -0.457,-0.159, 0.780,-1.181, 1.315, 1.397, 1.4720, 0.665,-0.043, 1.501, 4.037, 1.187, 0.323, 1.7929, -1.275,  4.5158,-1.041, 3.2267, 1.192, 1.86, 0.925, 1.2730,-1.1279, 0.230, 1.062, 0.5534,-0.138, 2.3374,  1.96, 1.7039, 0.518,-0.10579, 0.121, 1.496, 0.8085, 0.729, 1.2233,-0.1694,-0.101, 3.788, 0.813, -1.460, 1.844, 2.214,  0.383, 2.6411, 2.730, 0.58155,  1.311, 0.9999,-1.321,  1.032, 1.922
 0.722, 2.421, 0.41986, 0.33933,-0.317,-1.038, 1.5021,-1.7791,-3.581,-4.1631,  2.91,-2.183,-0.227, 2.700, 1.6490, 1.312, 1.5920,-0.6307, 2.2732, 0.634, 2.5770, 0.532, 0.8844,-0.118, 0.526, 2.737,-0.9590, 1.3973, 3.913, 2.825, 2.116,-0.294, 1.654, 1.5957, 2.994, 1.320,-3.492, 1.0282, 3.6973, 3.164, 0.620,-0.562, 2.388,  1.870, 1.157, 2.156, 0.722, 0.861, 1.623, 1.2978, 1.073, 0.641, 3.314, 4.284, 1.294,-0.077, 3.1909,  0.868,  6.6822,-1.255, 3.8588, 1.817, 2.86, 1.021, 0.6269,-0.4784, 0.049, 1.034, 2.3459, 1.540, 2.3567,  3.72, 4.0111, 1.283, 0.94457, 1.514, 2.072, 3.3265, 2.402, 1.9072, 0.8146,-0.659, 1.377, 2.692, -1.307, 2.428, 2.547,  1.840, 3.7851, 3.683, 2.30969,  4.188, 5.2771, 1.979,  3.352, 2.174
 1.725, 2.461, 1.23844, 1.27413, 0.454,-0.265, 2.3660,-2.0373,-2.885,-2.8739,  2.70,-2.073,-0.596, 1.777, 1.5096, 2.114, 2.3573,-0.2397, 3.5787, 1.763, 2.5262, 0.924,-0.1060,-0.044,-0.208, 5.105,-0.3824, 1.9316, 5.255, 5.199, 3.840,-0.258, 1.295, 1.0951, 1.715, 1.311,-2.834,-0.4308, 2.3608, 2.419, 1.846,-0.059, 4.734,  4.593, 0.937, 5.109, 1.708,-0.086, 2.194, 1.5974, 1.371, 0.888, 4.143, 5.071, 1.457, 0.287, 2.4835,  3.111,  5.6389,-0.929, 4.3922, 1.217, 2.32, 0.962, 0.6907,-0.4928, 1.803, 1.910, 3.3354, 1.385, 1.9786,  3.74, 3.5411, 2.713, 1.50522, 1.944, 3.287, 5.4450, 3.633, 1.4981, 1.5126,-0.693,-2.547, 3.401, -1.638, 2.244, 1.506,  1.302, 4.4653, 5.501, 5.90943,  6.017, 4.4461, 4.076,  2.530, 0.878
