ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
  0.664,  1.909, 1.512, 1.249,-2.758,  0.522, 0.239, 1.203,  2.4450, -5.628, -4.2501,-1.5422, -5.33,  0.424,-2.55,-5.458,  2.1814, 7.995,  3.079, -9.9792, -0.072,-0.9650, -5.5607, 0.794,  7.313,  2.816, -4.203,-1.7538,-4.417, 2.326,  1.991, 2.4e+00,  5.4834,-1.20464,  0.731, 1.71843,  2.406,-1.530,-1.900, 1.2345, -6.634, -2.317,  0.865,  0.17, -6.65, -2.950, -2.285, -7.0446,-0.105,-5.129, 1.5812,-1.8300,-0.949, -4.034, 2.551,-1.970,  4.2749,  2.176, 4.645, -4.696,-2.7458, -7.920,-5.226,  2.549,  4.37, 2.9656, -0.0461,-2.125,-0.994, 3.732, -0.566,  2.623, -0.86,  7.738, 0.1877,  1.104,-0.100, 3.289, 3.216, 0.249,-4.361,-1.430,  1.685, 1.8209, -5.141, 1.020, 2.291,  1.1290,  2.274,  5.820,  1.567,-5.5e+00,  3.66,  3.33,  3.929, -5.159
  3.828, -2.051, 2.545, 0.214, 4.228,  2.401, 3.086, 0.243,  3.1086,  1.146, -0.5641, 1.2492, -1.70,  1.838, 1.56,-2.023,  4.2645, 3.450, -0.503, -4.2573, -3.345,-1.9683, -5.2498, 1.215,  2.151,  2.178,  5.522, 0.0915,-1.332, 0.080, -2.338,-2.6e-01,  1.7859, 0.51681,  1.526, 2.12682, -1.994,-0.524, 0.977, 3.8577,  1.887,  4.152,  2.742, -5.62,  4.38, -1.245, -2.696, -3.0756,-0.141, 1.999, 0.4115,-3.2773, 0.876,  1.915, 1.939, 1.826, -0.1840,  0.649, 0.364, -1.367,-0.3985, -2.321, 0.121,  2.342,  4.00,-0.3118, -1.8536,-0.733,-2.921,-1.759,  0.746,  1.215, -0.93,  3.259, 5.0505,  0.660, 1.795,-2.840,-5.069,-1.095, 3.745,-0.164,  0.680, 2.6106, -1.005,-2.197, 3.168,  3.1524,  0.979,  4.634,  2.164, 3.0e+00, -0.30,  2.00,  0.525, -2.080
  3.961,  3.165, 2.339, 1.152, 1.583,  1.211, 3.985, 0.575,  1.0591,  0.019, -1.7582, 0.9772, -0.22,  2.238, 3.06,-0.624,  6.7113, 5.795,  4.106, -0.1486, -1.452,-2.6615, -3.4901, 0.315,  7.267,  2.305,  5.342, 0.9072,-0.992, 1.512, -0.327,-2.8e+00,  2.5943, 0.81506,  3.381, 1.47655, -2.526, 0.919, 3.016, 3.6498,  2.396,  7.609,  5.513, -1.81,  4.07,  3.475, -1.636, -5.9897,-0.444, 5.177, 0.9106,-2.5071, 2.123,  0.713, 3.069, 1.347,  2.5342,  1.104, 2.229, -1.635, 1.0846, -1.526,-2.137,  1.060,  5.69, 1.1528,  1.8834, 1.826,-0.518,-0.427,  1.149,  1.650,  3.16,  4.861, 6.7962,  2.479, 2.274,-0.865,-2.202,-1.598, 4.093,-2.501,  0.164, 2.4465, -0.107,-2.400, 4.124,  2.5576,  4.054,  7.234,  5.574, 2.4e+00,  7.57,  7.29,  1.233, -3.049
  0.843,  5.299, 0.761, 2.317, 0.952,  2.018, 3.619, 2.595, -1.3308,  0.456,  4.0051, 0.3365,  1.67,  0.125, 1.65, 1.093,  6.6307, 6.854,  7.402,  5.4020,  0.723,-2.4096,  3.0612,-0.184,  1.552,  3.144,  3.558, 3.4848, 3.350, 1.116, -0.639,-2.8e+00,  1.9487, 1.07911,  3.385,-0.17647,  0.800, 1.575, 2.740, 1.2767,  2.250,  5.826,  6.934,  7.70, 12.56, 11.623,  1.571,  0.2337,-1.773, 3.254,-0.8103,-1.8520, 3.763,  2.208, 2.352,-0.333,  4.5074,  2.875, 5.058, -1.866, 4.2605,  4.364, 0.414, -1.259,  4.53, 2.4761,  5.3009, 2.590, 0.664,-1.123,  2.881,  1.220, -0.83,  2.192, 2.7214,  0.421, 2.429,-0.053,-1.847,-1.992, 3.220,-0.757, -0.443, 0.3601,  2.172, 0.546, 1.777,  2.7085,  4.019,  6.144,  8.897, 1.3e+00,  7.19,  7.38, -2.018,  2.170
  0.228,  4.157,-0.944, 2.274, 1.285,  2.789, 1.662, 3.372, -3.6595,  0.918,  7.6153, 1.7219,  1.74, -1.038,-0.62, 0.084,  4.7721, 4.255,  4.928,  6.2260,  1.827,-1.3872,  5.5982,-0.321, -2.571,  1.796,  1.994, 4.9334, 5.110, 0.110, -0.796, 6.3e-01,  2.7015, 2.08356,  1.215,-0.17782,  6.594, 0.051, 1.154,-0.9207,  0.629,  1.159,  3.836, 14.03, 14.86, 15.095,  5.088,  6.8409,-1.201, 1.139,-2.4541,-0.2452, 2.943,  4.663, 0.748,-1.652,  3.8546,  4.794, 5.055, -1.277, 4.6843,  5.531, 2.194, -0.962,  2.04, 1.2071,  4.8341, 2.628, 2.234,-0.962,  4.042,  0.951, -3.52, -1.969,-0.1713, -2.072, 1.371,-0.043,-1.973,-0.850, 2.088, 0.014, -0.887,-0.8917,  1.186, 2.903, 0.650,  2.6358,  2.771,  3.996,  9.532, 2.3e-01,  4.69,  5.45, -1.789,  7.375
  3.291,  2.013,-0.489, 1.334, 0.827,  1.956, 1.173, 2.742, -3.7159,  0.045,  4.9631, 3.5118,  1.32,  0.855,-2.00,-2.771,  4.8297, 1.610, -0.230,  3.1127,  0.995, 0.5689,  2.3593, 0.668,  4.869,  1.335, -1.410, 4.3762, 5.133,-0.483,  0.804, 5.9e+00,  2.4333, 3.42608, -1.099, 2.85184,  9.171,-2.186,-0.411, 0.9824,  0.885, -1.836,  0.208, 12.80,  5.54, 10.307,  5.280,  8.3607, 1.253, 1.286,-0.5936, 2.7785, 1.096,  6.313, 1.922,-0.594,  2.6149,  4.562,-1.599,  0.853, 3.2842, -1.889, 0.521,  3.051,  2.97, 0.2396,  3.0748, 3.332, 3.919, 1.801,  4.023,  1.381,  2.18,  0.029,-0.7935, -1.468, 0.656, 0.480, 0.086, 1.727, 0.594, 0.164, -3.352, 0.2593,  0.143, 2.903, 2.006,  2.2824,  2.349,  3.957,  7.460,-3.6e+00,  6.55,  5.77,  3.089,  7.066
  3.305,  0.091, 0.325,-0.215, 0.392, -0.234, 1.184, 2.261, -2.2293, -1.006,  2.8299, 3.0436,  1.27,  3.442,-2.75,-3.154,  4.0417, 0.332, -1.338,  1.0967, -0.309, 1.8070,  0.8594, 0.895, 10.115,  1.873, -5.429, 3.2132, 4.415,-1.284,  1.488, 8.4e+00, -0.1449, 3.84037, -2.203, 3.51416,  7.276,-3.062,-1.169, 2.2149,  1.529, -1.948, -1.540,  9.52, -2.38,  3.210,  3.378,  8.0248, 1.387, 1.485, 1.5525, 3.6165, 0.022,  5.231, 3.013,-0.953,  0.5122,  2.002,-6.879,  3.235, 2.0585,-10.140,-1.635,  3.470,  3.84, 0.8498,  3.3293, 3.357, 3.518, 3.563,  2.961,  1.434,  7.40,  2.880,-2.2295, -0.784,-0.104, 0.704, 1.900, 3.163,-1.133, 1.409, -4.802, 0.9689,  0.670, 0.982, 0.888,  0.7748,  1.198,  2.999,  4.562,-6.7e+00,  6.72,  6.73,  7.057,  4.605
  0.070, -4.987,-0.650,-3.198, 1.368, -3.833,-1.060, 1.606, -1.1121, -0.386,  4.7368, 1.7717, -0.40,  7.308,-2.71,-1.778, -0.9416,-2.106, -0.026, -1.0081, -0.728, 1.8888,  1.5096,-0.642,  6.537,  0.698, -5.913, 2.2282, 0.265,-0.865,  0.966, 7.2e+00, -2.3583, 2.47405, -2.919,-0.68758,  3.477,-3.316,-0.582,-1.4479, -1.121, -1.008, -4.239,  3.67, -8.02, -6.024,  1.876,  8.5956,-1.869, 0.246, 0.4231, 0.1901,-2.031,  1.562, 0.317,-4.826, -4.2438, -0.906,-6.592,  4.371,-1.4015,-12.972,-3.013, -1.834,  0.37, 0.0696,  2.2111, 1.112, 1.470, 2.285,  1.006,  0.873,  8.90,  0.197,-4.0335, -3.533,-2.185, 0.607, 1.083, 3.253,-1.685,-0.426, -3.749, 0.3717, -1.541,-2.306,-2.552, -1.4734, -2.979, -2.754,  0.903,-7.9e+00, -2.06,  3.09, 10.052,  4.153
 -0.409, -6.852,-1.138,-3.773, 2.557, -4.313,-2.354,-0.033, -0.4505,  0.735,  2.7661,-0.3108, -2.98,  7.485,-2.07,-1.438, -4.1334,-2.832,  1.306, -2.3211,  0.510, 1.8928,  0.5474,-0.833,  3.085, -0.530, -3.955, 1.3821,-2.996, 0.567,  1.574, 5.1e+00, -1.6602, 0.52177, -3.276,-3.06946,  0.377,-3.625, 0.084,-3.9511, -1.785,  0.879, -5.057, -4.43,-13.90,-12.984,  1.173,  6.5135,-2.428,-0.029,-0.3052,-1.2655,-2.910, -0.739,-1.143,-5.183, -8.1085, -0.374,-5.492,  5.000,-2.9843, -9.968,-2.839, -2.733, -2.16, 0.1650,  2.4142, 0.039, 0.739, 1.524,  0.272,  1.221,  9.66, -0.830,-4.4213, -3.336,-2.211, 1.524, 1.024, 2.966,-1.104,-3.553, -1.824, 0.5301, -4.918,-2.990,-2.377, -2.2322, -2.984, -5.386, -0.740,-6.9e+00, -4.94, -0.16, 10.231,  2.565
  1.096,  2.951, 1.417, 1.126, 2.867,  2.579,-0.052,-1.726,  2.5936,  2.647, -7.3159,-2.9357, -3.07,  0.043,-1.15, 1.036, -2.1222, 0.739,  5.346,  0.8207,  4.704, 3.0929,  0.9449, 2.357,  2.771,  0.647, -2.510, 1.3329,-1.452, 1.497,  3.315, 4.1e+00,  0.3457,-0.36289, -0.314, 0.40498, -0.592,-2.426, 1.013,-0.8169,  4.719,  5.490, -0.252, -7.16,-12.18, -9.592,  1.729, -1.4738, 2.955, 4.017, 3.2814, 4.0716, 0.388,  0.181, 2.656, 1.104, -7.0012,  4.082,-2.591,  5.263, 2.1351, -2.367, 0.233,  4.039,  0.62, 4.8856,  9.2843, 3.302, 2.742, 4.324,  2.286,  3.770,  7.33,  5.156,-3.1891,  4.744, 1.607, 3.271, 4.167, 2.280, 0.091,-0.506,  1.928, 2.2518, -3.352,-0.193, 1.538, -0.7340,  5.616,  1.444,  1.469, 1.3e+00,  9.34,  6.08,  4.743, -2.111
