ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 2.3802,  7.793, 1.675, 1.837,-1.5279,-2.257, 2.4379, 2.303, 0.155,-2.622,-2.2073, 0.3682,-1.312, 1.792, 1.709,  2.7308, 1.8505, 0.403,-1.4343,-2.329,-0.393, 0.620, 1.4964, 2.132, 0.745, 1.8579, 0.8664, 3.088,-1.347, 1.627, 0.726,-1.545, 1.306,10.374, 1.116, 5.259, 3.076, 1.607, 2.939,  3.3752,-5.628, 0.04058,-0.19577, 3.05, 4.558, 0.049,-1.8531, 0.5648, 2.446,-0.5502, 1.23055, 1.788, 0.649,-1.819, 2.8139, 4.554,-4.6899, 0.5604, 6.909, 3.013, 2.209, 2.081,-1.7124, 2.934, 2.945, 1.401,-0.422,-1.5210, 0.807, 0.933, 2.008, 0.866, 3.396, 0.930, 2.2897, 3.493, 1.3228, 4.437, 2.498, 1.526, 1.557, 7.888,10.821, 4.849, 3.4705, 3.1359, 2.515, 5.133,-1.735, 0.8806,-2.0523, -3.453,  0.400,-1.022,-0.2204, 7.0e-01
-1.0848, -0.427,-0.843,-0.133, 3.7644, 0.776,-1.7518, 2.290,-0.950,-1.614, 0.6740, 0.3509,-2.243,-0.999, 1.713,  0.3029,-2.2584,-1.994,-3.7493,-3.514, 1.211, 1.075,-0.8749,-4.023, 4.318,-1.5134, 4.9701, 1.479, 0.214,-1.412,-2.370,-2.609,-0.038, 3.240, 1.195,-2.200, 2.415, 0.616,-2.501, -2.6699,-1.261, 0.38591,-1.81515, 3.75, 2.586, 0.482,-3.5839,-2.6394,-0.766, 1.6941,-1.54578,-1.099, 0.726,-2.381,-1.5832, 2.320,-0.6816,-4.9487,-0.474,-2.906,-5.140,-0.899,-0.5125,-6.392,-2.357,-4.777,-3.836,-4.0096,-1.908,-2.827,-6.168,-2.386,-0.089,-1.032, 4.4083,-1.954,-0.8299,-2.232,-2.745,-3.558, 1.093, 3.965, 0.586,-2.300,-0.1717,-1.7044,-3.009,-1.969,-6.953,-1.6496,-3.5558, -2.646,  1.905,-2.951,-2.5163,-5.2e+00
 1.2219, -0.702, 0.119, 1.440, 4.6106, 1.923,-0.9966, 4.151, 0.286, 1.741, 1.1510, 0.4541,-0.370,-0.679, 0.785,  0.8426,-2.2044,-1.684,-2.7007,-2.070, 3.406, 3.861,-0.9050,-2.638, 7.003,-1.0209, 5.7948, 2.218, 0.496,-0.175, 0.412,-0.053, 1.403, 1.513, 1.056,-1.391, 1.185, 0.462,-2.250, -2.4374, 2.140, 3.35152, 1.93680, 4.12, 3.312, 1.705,-0.5266, 0.3116, 1.998, 5.7893,-0.72015,-0.197, 3.321, 0.148,-0.7776, 5.281, 1.0044,-0.9290, 2.105, 0.519,-2.133,-0.145, 0.2392,-5.865,-1.881,-4.859,-2.865,-2.0692, 0.666,-0.212,-4.338,-0.503, 1.888,-0.478, 4.8377,-2.077,-0.9022,-1.198,-1.073,-3.229, 3.626, 3.595,-2.852,-2.258, 0.6025,-1.0152,-2.373,-1.370,-4.023, 1.9756, 0.6969,  2.610,  8.226, 1.087, 0.0680,-2.2e+00
-0.2315, -5.029,-0.745, 0.743, 5.3415, 2.136,-0.6268, 0.597, 1.017, 1.317, 0.7926, 1.2630, 2.210,-3.621, 2.107,  1.7678,-0.8013,-1.601,-1.1964, 0.280, 4.094, 4.798, 1.2421,-2.959, 4.282,-3.7748,-0.7521, 2.415, 1.882, 2.533, 1.321, 0.691, 0.871,-1.962,-0.982,-2.410, 0.416, 1.170,-1.699, -1.2487,-0.608,-1.61152,-0.84366,-0.22, 1.231, 2.485,-0.5134, 1.1630, 0.038, 2.6180,-2.16850,-1.808, 2.789,-0.363,-0.6790, 1.180, 0.3690,-1.0671, 0.722, 0.698,-1.966,-0.562,-0.4117,-3.320,-1.246,-3.860,-1.089,-1.0360, 0.680, 0.887,-2.951,-2.121, 2.844,-0.384, 2.4851,-1.075, 0.3225, 0.634,-1.294,-1.511, 2.028, 0.828,-5.808,-2.160, 0.5486,-1.6842,-2.208,-1.592,-2.115, 0.0327,-0.9895, -2.113,  5.073, 0.965,-0.4453, 4.4e-01
-4.1523,-10.370,-2.766,-2.151, 3.2667,-0.732,-1.4637,-4.233, 0.254,-1.994, 1.5306, 1.8969, 3.055,-4.010, 3.442,  2.5594,-0.3637,-0.970,-1.0434, 0.434, 2.880, 3.642, 3.0277,-2.532, 0.079,-6.4274,-7.0367, 0.261, 1.158, 3.535, 1.077, 0.332,-1.561,-3.523,-1.649,-2.996, 1.182, 2.767,-1.411, -0.4429,-5.633,-7.26518,-5.27814,-3.29,-1.358, 2.611,-0.4294, 0.1565,-4.737,-2.8243,-4.42295,-3.977,-0.490,-3.474,-1.8149,-4.743,-2.1974,-3.3452,-3.314,-0.593,-2.554,-1.262,-0.2716,-1.524,-1.339,-2.961,-0.340,-1.3816,-0.964, 0.257,-2.584,-3.117, 2.981,-1.410,-0.9054,-2.791,-0.7688, 1.308,-1.851, 0.492,-1.519,-0.756,-4.905,-1.460,-0.4744,-2.2829,-1.838,-1.653,-5.175,-4.6796,-5.1254,-10.255, -1.519,-1.340,-1.0546, 8.9e-01
-5.6966,-10.426,-2.339,-3.269, 1.5258,-2.429,-2.2185,-5.769,-1.139,-2.677, 2.4375, 0.5278, 0.794, 0.128, 0.688,  1.1027,-1.0187, 0.323,-0.9201,-0.181, 1.393, 0.901, 1.4897,-1.361,-0.179,-5.8472,-6.1672,-0.567, 0.028, 1.407, 0.087, 0.337,-3.505,-3.156,-1.899,-2.814, 2.694, 2.171,-2.023, -1.7891,-3.334,-4.42133,-2.95130,-2.40,-2.328, 1.113, 0.6288,-1.2360,-6.527,-2.4657,-3.91655,-3.363,-1.972,-3.760,-3.1161,-6.699,-3.1124,-4.3078,-8.060,-3.014,-2.939,-1.305,-0.0309,-3.078,-2.348,-3.314, 0.416,-1.2799,-0.929,-1.675,-4.212,-2.136, 2.342,-1.802,-2.5909,-3.366,-2.4487, 0.484,-1.921, 0.729,-3.050,-1.721,-2.684,-1.288,-1.1296,-3.0071,-2.078,-2.940,-5.255,-4.2238,-4.3999,-12.421, -5.453,-3.493,-0.0097,-1.2e+00
-3.4525, -3.962,-0.039,-1.867, 0.9589,-0.626,-1.1351,-4.691,-1.174,-0.267, 0.4913,-1.3738,-1.263, 2.377,-2.718, -1.3867,-0.6437, 1.046, 0.6792, 0.026,-0.539,-2.469,-1.8603,-0.461, 0.364,-2.2915,-2.6654, 0.541, 0.641, 0.489,-0.424, 0.120,-3.197,-2.835,-1.830,-1.345, 2.725,-0.292,-1.535, -2.2583, 1.934, 1.24179, 1.62341,-0.44,-1.765,-1.244,-0.2776,-3.1740,-4.146, 0.3854,-1.29182,-0.533,-0.793,-0.412,-1.6579,-5.125,-1.0907,-1.6396,-8.316,-3.857,-1.274,-0.760,-0.1014,-2.822,-1.561,-2.937, 2.369, 0.0555, 0.427,-2.695,-4.004,-1.203, 0.733, 0.326,-2.7440,-0.630,-0.5081, 1.031,-0.723, 0.113,-2.657,-3.308, 0.147,-0.354,-1.7667,-1.8345,-0.983,-2.487, 0.482, 1.2637,-0.2891, -7.639, -5.913,-3.538, 0.5250,-3.7e+00
 0.0201,  3.906, 1.999,-0.285,-1.3087, 1.176, 1.7466,-2.753, 0.750, 0.230,-2.0787,-0.5135,-0.140, 1.576,-0.769, -1.3871, 1.3532, 1.092, 2.9107, 0.105,-3.568,-5.152,-3.5498, 1.266,-2.881, 4.2516,-1.0206,-0.316, 1.209, 2.788, 0.776,-0.814,-1.174,-0.304, 1.571, 2.859, 0.740,-0.888, 1.679,  0.9740,-1.119, 1.39435, 0.41914, 1.87, 0.456,-1.295,-2.3350,-5.4468,-0.705,-0.5765, 1.45408, 2.668, 0.321, 2.835, 3.3254,-2.828, 1.9384, 4.3564,-1.654,-0.924, 4.037, 0.260, 1.2336, 2.938, 2.809, 0.744, 4.415, 1.5105, 0.836,-0.762, 1.467, 0.926,-1.529, 4.339,-2.8748, 0.905, 3.5082, 3.424, 2.781, 1.766,-2.768,-2.863, 6.858, 3.419,-3.8131, 3.0022, 3.353, 3.375, 5.383, 6.0059, 2.7926, -0.262, -3.715,-0.319, 0.2144,-3.8e+00
 2.0694,  5.593, 3.015, 0.970,-3.7406, 0.574, 3.5704,-0.803, 1.685,-0.249,-1.7367, 1.4829, 2.050, 2.124, 2.365,  0.6407, 2.7887, 1.856, 3.8319, 0.680,-4.003,-4.194,-2.5932, 4.011,-6.024, 7.6907,-0.7057,-1.846, 0.253, 4.440, 2.935,-0.145,-0.152, 2.531, 5.073, 6.516,-0.449, 0.554, 4.966,  4.4234,-5.123,-1.04730,-2.28125, 2.26, 1.574,-0.140,-1.3096,-4.3637, 1.116,-2.2301, 3.48698, 4.802, 0.248, 3.681, 6.3995,-1.131, 3.1179, 7.1465, 4.122, 2.893, 8.504, 1.147, 2.9161, 8.208, 5.909, 4.241, 4.997, 3.2199, 2.030, 2.553, 7.508, 4.535,-2.930, 6.094,-3.3485, 0.335, 4.3173, 4.522, 5.641, 4.318,-2.932,-0.853,10.964, 6.507,-4.3035, 6.4345, 6.879, 8.524, 4.647, 5.3748, 2.9856,  3.959,  0.388, 4.261, 1.6502,-5.2e-01
 3.9378,  3.053, 3.093, 3.448,-3.6634,-0.053, 3.6434, 1.354, 0.475, 3.847,-0.2502, 2.1066, 2.935, 3.033, 0.399,  2.4096, 3.5418, 4.534, 3.4514, 3.656, 0.478, 1.469,-0.8122, 6.777,-5.043, 4.1623, 0.0261, 0.272,-0.208, 4.872, 5.996, 3.334,-0.515, 0.957, 5.566, 7.500, 0.025, 1.360, 7.220,  5.2633, 0.555,-0.38629, 0.44499,-1.22, 0.634,-0.365, 2.6041, 0.9852, 2.972, 0.5461, 5.18465, 6.220, 0.836, 4.531, 5.5965, 1.242, 3.3162, 4.9711, 5.823, 6.202, 9.535, 1.855, 2.8955, 9.678, 5.307, 5.245, 4.597, 6.8700, 7.146, 5.965,10.718, 7.449,-3.285, 4.129,-2.6302, 2.140, 3.0118, 4.708, 6.493, 4.273,-1.167,-0.822, 7.269, 6.703,-0.1418, 5.9082, 7.033, 8.470, 2.259, 2.8240, 1.8030,  6.160,  6.828, 8.180, 4.9637, 4.5e+00
