ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 0.6234, 7.242, 1.1629, 0.26, 2.283, 2.1959,-0.149,-0.3904, 0.565, 0.707, -2.264,-1.871,-0.5038, 1.580,-2.0530,-1.9551, 2.348, 0.886, 2.873, 0.662, 2.9563, 0.0557,-0.202, 2.947,  4.132, 0.55, 2.641, 4.95091,  2.381, 0.8827,  1.548, 3.5614, 4.735,-1.0397,-1.606, 3.559, 5.05,-1.263, 1.032,  1.179, 7.3261, 2.9764,  7.630,  7.895,  6.58,  7.270, 0.740, 0.371, 3.9068, 4.755, 2.05665, 0.963, 1.886, 3.0293, 1.382, 0.933, 2.346, 5.311,-3.5941, 2.712, 4.658, 6.0093,-0.81844, 2.716, 1.421,-0.241, 7.711, 4.121, 5.461,  0.35, 1.662,  0.746,  3.818, 2.7584,-0.0843, 5.205, 1.983, 1.001,-4.2e-01, 2.72, 3.6564,-1.137,-1.645,  2.027, 2.301,-1.3185,-1.106,  2.169, 8.471, 4.165, 6.2864, -9.78,  0.054, 2.7908, -0.075,-2.025
-2.5742,-0.248,-2.1528,-2.40,-3.272,-3.1253,-0.686, 2.0241, 6.462, 0.887, -0.198,-1.986,-4.5171,-2.801,-2.1885,-1.6921, 0.059,-1.384,-4.728,-4.806,-2.6123,-2.1996,-0.155,-3.933,  7.506,-1.70,-0.635,-0.48461,  0.831, 3.0274,  0.439, 1.8704, 0.206, 0.4008,-2.076, 0.078, 0.76,-2.712,-1.766,  1.141, 0.1763, 3.5422,  1.087, -7.577, -3.09, -4.124,-1.284, 3.654,-1.7302,-4.542,-1.97837,-3.551,-4.249,-5.3849,-2.492, 0.555,-1.545,-0.862, 1.8915, 0.855,-3.321, 0.0885,-0.60672,-0.134, 0.227,-0.225,-4.402,-7.951,-2.518, -3.48, 2.475, -2.859,  9.805,-0.1397, 1.3799, 4.277, 0.283, 1.825,-2.4e+00, 1.59,-2.9180, 1.020, 0.062, -1.832, 1.599,-0.0044,-1.118,  0.776,-8.904,-0.843,-0.3517, -7.05, -3.129,-1.0560, -0.759, 3.300
-3.8924,-0.970,-2.6198,-2.62,-5.576,-3.9140,-1.000,-0.5672, 2.204,-3.338, -4.112,-4.964,-3.5134,-5.236,-2.6955,-1.8913,-1.105, 1.569,-1.584,-4.908,-4.1390, 0.5092, 2.142,-2.470,  3.269, 0.15,-2.639,-1.67534,  0.724, 0.2158,  1.300, 1.9379,-2.266,-0.6557,-0.894, 1.413,-2.44,-2.895,-0.379,  1.925,-1.6965, 2.9379,  2.293, -9.899, -4.97, -7.228,-1.159, 3.111,-1.4124,-2.765,-2.10259,-1.150,-0.233,-1.8277,-2.140,-0.804,-3.608,-4.555,-0.7921,-1.106, 0.029,-2.2104,-1.01584, 0.949,-1.175, 2.853,-1.285,-5.113,-2.782,  0.90, 4.315,  0.489,  4.219, 2.4587, 1.2678, 3.120, 0.381, 0.765, 2.6e-01, 2.60,-3.9090,-0.950, 0.317,  0.785, 0.196, 0.4429, 0.092,  2.793,-6.894,-3.152, 0.7714, -2.31, -2.387,-2.5072, -0.734, 1.254
-4.9202, 1.379,-3.0119,-3.38,-5.393,-2.5770,-1.547,-3.4528,-2.392,-5.670,-10.151,-7.170,-0.9792,-6.811,-2.5034,-0.1381,-2.804, 3.058, 2.809,-4.306,-4.4354, 2.2545, 5.553, 1.944, -4.097, 0.20, 0.438,-2.40862,  0.776,-5.4246, -0.786, 2.1222,-1.138,-0.9839, 0.634, 4.476,-2.88,-1.500, 3.266,  4.906,-0.6252, 2.2224,  5.021, -9.016, -4.77, -8.138, 0.183, 1.280,-1.6687,-1.369,-2.15066,-1.293, 3.439, 2.6673,-1.199,-0.327,-3.294,-4.823,-2.7858,-0.218, 4.901,-2.9368,-1.10449, 4.425,-3.332, 3.608, 3.773,-3.060,-5.607,  5.94, 7.496,  5.310, -5.657, 2.4212, 1.7155, 0.324, 0.548,-2.668, 8.1e-01, 3.28,-1.1308,-0.855, 0.719,  6.159,-1.030, 1.6351, 3.533,  6.721,-2.917,-2.197, 4.0254, -2.60,  1.302,-0.7992,  1.741,-0.850
-4.1209, 1.580,-2.5622,-2.83,-3.863,-0.3878,-1.757,-5.6008,-5.406,-5.980,-12.057,-6.866, 0.8673,-6.527,-1.7392, 1.6137,-3.605, 3.401, 5.756,-3.251,-3.8811, 3.4555, 6.978, 5.191, -7.682,-0.69, 2.228,-1.86967,  0.695,-8.4799, -1.911, 2.1191,-0.879,-0.5904, 1.140, 6.672,-2.01, 0.446, 6.438,  7.204, 0.3368, 0.8474,  4.220, -6.617, -4.84, -7.711, 0.061,-0.515,-1.3081,-1.012,-1.59127,-0.719, 5.438, 5.1844,-0.530, 0.069,-1.974,-4.029,-3.0364, 0.545, 7.213,-1.9748,-0.64827, 6.348,-4.337, 3.054, 6.311,-1.424,-6.771,  8.82, 8.591,  7.686,-10.734, 0.9141, 1.4554,-1.068, 0.565,-4.657, 1.5e+00, 3.83, 1.0807,-0.635,-0.024,  9.326,-1.157, 2.7940, 6.140,  9.081, 0.226,-1.920, 3.8754, -4.95,  1.551, 0.4724,  2.464,-2.581
-0.6113,-1.187,-0.0973, 0.85,-0.601, 1.2910,-1.646,-6.0875,-6.544,-5.845, -6.100,-3.449, 1.1433,-3.827,-0.2046, 2.6704,-2.898, 3.057, 5.431,-2.553,-1.8358, 4.9693, 5.182, 5.398, -4.206,-1.72,-0.929, 0.05774, -2.330,-6.3208,  1.409, 2.1978,-2.777, 0.1533, 0.695, 7.967,-1.75, 2.550, 7.880,  8.579,-0.4780,-1.1617, -1.966, -2.315, -3.85, -6.916,-1.292,-0.033,-0.0980,-0.281,-0.47176, 2.103, 4.865, 4.5817,-0.683,-0.902,-1.260,-3.940,-1.5978,-0.944, 4.655, 0.0413, 0.16636, 4.743,-3.667, 1.717, 3.940,-0.300,-3.356,  9.06, 5.997,  7.862, -6.968,-1.0013,-0.5764,-1.210,-1.168,-3.802, 4.4e+00, 3.68, 0.8648,-1.258,-1.466,  9.363, 0.342, 3.0637, 6.399,  8.927, 0.872,-3.432,-1.4402, -4.93, -2.276,-2.0622, -0.461,-3.359
 1.9683,-1.914, 2.0030, 4.00, 1.799, 2.4476,-1.281,-5.3229,-6.419,-5.306, -0.649,-0.096, 1.3303,-1.234, 0.9902, 3.2491,-1.742, 2.390, 4.421,-1.406, 0.6569, 5.7553, 3.240, 2.900, -3.098,-2.05,-3.045, 1.23438, -4.493,-3.8226,  4.250, 1.1672,-3.976, 0.5862,-0.577, 7.704,-1.45, 3.677, 7.492,  8.873,-0.9074,-2.0311, -5.764,  0.323, -1.17, -5.499,-1.937, 1.518, 0.9651, 0.269, 0.42563, 4.731, 2.891, 3.6369,-0.714,-2.206,-1.601,-3.609,-0.5972,-2.438, 1.568, 0.9537, 0.61852, 2.599,-2.248, 1.263, 2.147, 1.087, 1.106,  8.98, 3.001,  6.705, -5.028,-2.7372,-2.3841,-1.494,-2.845,-2.405, 6.9e+00, 2.11, 0.2834,-1.697,-3.125,  8.279, 1.196, 2.3904, 5.635,  7.581, 0.815,-4.072,-4.6515, -5.49, -6.203,-5.2162, -3.178,-3.372
 1.5501, 0.898, 2.0345, 3.55, 2.002, 4.3638,-0.368,-3.5042,-4.734,-3.201,  0.807, 1.666, 2.7535, 0.187, 1.3456, 3.6555,-0.125, 1.438, 4.654, 2.097, 2.0544, 4.2486, 1.960,-1.601, -7.944,-1.19,-0.816, 1.63867, -0.914,-3.5431,  1.912,-0.5988,-3.781, 0.7921,-3.091, 4.656, 0.31, 3.295, 5.531,  6.768, 0.9112,-0.4926, -3.592, -0.091,  2.27, -1.583,-1.361, 2.249, 1.5823,-0.237, 0.82124, 5.837, 0.565, 4.0912, 0.286,-2.208,-2.079,-1.414,-0.4301,-1.888, 1.298, 0.4598, 0.57022, 2.413, 0.049, 2.693, 4.900, 3.992, 4.361,  8.72, 1.683,  3.007, -9.631,-3.0547,-2.2881,-1.496,-1.500,-1.103, 6.1e+00,-0.52, 0.3624,-0.942,-3.902,  5.721, 0.622, 1.5282, 4.331,  5.469, 1.997,-2.149,-2.0288, -7.83, -7.409,-3.9247, -3.026,-3.056
 0.1473, 2.424, 0.5991, 0.45, 1.368, 4.9751,-0.026,-0.8485,-2.663,-0.243,  1.046, 2.077, 3.6908, 0.973, 1.5331, 4.0420, 0.734,-0.579, 4.447, 5.168, 1.3000, 0.0638, 0.114,-4.124,-11.523,-0.48, 1.239, 1.47440,  3.964,-4.1999, -3.739,-1.5830,-3.131, 1.0245,-4.097, 0.493, 2.53, 2.523, 3.107,  3.255, 1.9987, 1.4831,  0.294,  1.966,  5.02,  4.735,-1.082, 1.349, 1.6967,-0.190, 0.44654, 4.363,-0.257, 4.4386, 0.912,-0.796,-0.708, 1.733, 0.5541,-0.325, 2.412, 0.0190, 0.45024, 2.128, 1.235, 2.804, 7.443, 5.707, 4.483,  5.27, 0.652, -0.566,-12.974,-2.2814,-0.9766,-1.546, 1.154,-0.400, 2.1e+00,-2.59, 0.8325, 0.635,-1.938,  1.855, 0.306, 0.8054, 2.119,  2.909, 3.867, 0.542, 1.8676, -4.42, -3.712, 1.0190, -1.365,-1.850
-1.5857, 0.089,-1.4947,-3.46, 0.732, 3.0690,-0.743, 2.8123,-0.815, 1.920,  2.117, 1.590, 3.0603, 1.342, 2.0198, 4.9316, 0.051,-3.560, 2.860, 5.425,-1.6828,-5.0846,-1.548,-2.561,-10.955,-0.94, 0.676, 0.17071,  5.289,-4.6468, -9.870,-0.7688,-2.528, 1.5951,-0.554,-2.224, 2.94, 2.350, 1.430,  0.742,-0.1325, 2.4557,  3.724, 10.228,  5.38, 12.128,-0.236,-0.136, 1.0909, 1.793,-0.98373, 0.224, 0.869, 4.6061, 0.134, 1.869, 2.620, 4.718, 1.6635, 2.062, 3.931,-0.5062, 0.21507, 0.693,-0.221,-0.011, 7.125, 4.670, 0.390, -0.82, 0.395, -0.332,-13.328,-1.1790, 0.0250,-2.988, 2.323,-0.678,-3.6e+00,-3.23, 2.2380, 2.653, 3.874, -1.237, 1.268, 0.1592, 0.272,  1.215, 5.955, 2.378, 4.1544, 10.60,  4.897, 5.7352,  3.482, 1.089
