ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
-0.345, 1.566,-1.3009, 0.8272,  1.520,  0.043,  0.078, 4.297,  3.374,-2.98, 10.659,-1.737,  0.477, 1.070,  0.232, -0.340, -0.297,  0.440,  3.911,  0.0098, 1.349,  2.120, -2.918,  1.152,  2.938, -1.070, 2.419,-1.363, -0.154,  2.330, -0.263,-2.155, 0.269,  3.3734,-5.9222,-0.1402, 4.672,-1.397, -0.899,  0.4083, -4.20, -1.847,  4.22,  5.28,  3.337,  4.605, -0.7697,-1.6676,-3.5778,-4.232,-5.800, -5.5485, -3.58, -0.346, -5.882,-1.071, -6.0052, -3.319,-5.8817,-7.587,-2.517,-1.2537,-2.0659,  1.172, -4.2728, -4.669, -4.2519, -1.21, -4.828, -0.397, 0.371, -0.3155, 3.688, -5.792, 0.315,-4.341,-2.456,  0.629, -3.0248, 0.073, 2.286, 1.91154,-1.8487,-1.3051, 5.8092, 0.19969, -0.696,  1.353, -2.98, 4.188,  5.6316,-8.349,-10.950,-12.076, -1.611, 0.334
-0.098,-0.306, 0.1494, 0.0228,  0.250,  2.992,  0.202,-0.936, -4.543,-0.45, -7.456,-2.134, -1.071, 0.456, -0.930, -2.951,  0.275,  0.286, -1.590, -1.9009,-2.435, -1.215, -2.114,  1.005, -2.748,  1.600,-1.492,-0.066,  1.269, -0.437, -1.200, 0.278, 0.225, -0.8894,-2.9070,-0.2102, 0.999,-1.920, -3.148, -1.2697,  4.70,  3.445,  4.81, -6.15, -4.734, -2.883, -0.0877,-0.9280, 0.2406,-0.558, 1.932,  0.0064, -7.74, -6.555,  1.719,-1.245, -1.0623,  0.525, 3.3954, 4.383, 2.650, 0.3724, 3.0757,  0.316,  1.8180,  0.486,  2.0258,  0.59, -1.966, -3.265, 0.129,  2.7082,-1.181,  4.972,-2.148, 2.080, 2.459,  0.875, -0.8294, 0.243, 0.251, 1.41535,-1.4180, 0.3895, 0.4978, 0.95190, -0.194,  0.431, -0.63, 1.159,  0.4929, 4.818,  4.484,  5.048,  1.033, 1.817
 1.160,-0.128, 1.1881, 0.2620, -0.473, -0.154,  1.042, 2.334, -0.287, 0.17, -3.801,-1.224, -0.673, 1.440, -3.792, -2.580,  0.965,  1.255, -2.273, -0.5614,-0.566,  0.380, -0.252,  2.103, -1.787,  2.875,-0.771,-0.258,  0.311,  0.147,  1.027, 2.273, 1.051, -0.1070,-3.6144, 1.4458, 2.453,-3.164,  0.673,  2.2038,  5.16,  4.049,  6.01, -3.74, -3.864, -2.809,  2.7452, 1.0824, 1.1158,-0.534, 2.517,  1.4877, -6.68, -6.361,  1.648, 0.401,  2.2528,  2.843, 2.5448, 5.863, 3.617, 2.0236, 2.5480,  2.396,  1.9217,  1.418,  0.6600,  1.07,  0.365, -1.354, 0.767,  4.5083,-0.381,  4.680,-2.108, 1.437, 1.225,  1.050,  0.3429, 3.756, 1.940, 3.67107,-0.9074, 1.7024, 1.1679, 1.73724,  1.679,  1.557, -0.35, 2.796,  2.4164, 5.034,  2.954,  1.722,  2.698, 2.740
 0.708, 2.166, 0.6601,-0.8407, -2.415, -0.725,  0.806, 1.990,  0.672, 0.67, -4.274,-1.404, -3.175,-0.269, -5.686, -4.131,  0.570,  1.402, -4.717, -0.9987, 1.801, -0.726, -1.134,  1.918,  2.291,  1.345, 2.036, 0.122, -2.827,  0.775,  0.384, 1.253, 2.573, -0.5678,-3.5605, 2.0367, 1.305,-4.208,  2.368,  2.4591,  4.84,  6.072,  4.88, -4.47, -6.307, -5.119,  3.5881, 1.0606, 2.6274,-0.873, 1.963,  2.0072, -0.51, -3.764,  0.930, 2.553,  3.9997,  4.551, 2.5431, 5.961, 2.680, 2.9062, 2.3203,  3.067,  0.0891, -0.479, -2.8684,  3.27,  3.035,  0.530, 1.910,  3.8674, 3.716,  3.731, 1.384, 3.382, 0.345,  0.494, -1.2820, 1.897, 4.352, 3.37158, 2.0794, 1.6880, 3.2640, 2.38324,  2.130,  3.175,  1.38, 2.989,  3.4977, 5.635,  0.660, -2.455,  5.093, 1.416
-0.181, 2.824,-0.8326,-1.7948, -2.867, -1.773,  0.443, 1.480,  1.140,-0.59, -4.380,-2.429, -4.966,-0.632, -4.216, -3.878, -0.083,  1.354, -6.207, -3.0286, 2.117, -0.761, -1.091,  1.492,  3.421, -0.118, 3.376, 0.274, -4.044,  0.806, -0.442,-0.140, 2.608, -0.4866,-1.9709, 0.9179, 0.892,-3.107,  2.553,  1.3252,  2.19,  5.756,  1.65, -5.52, -8.478, -7.611,  1.9143, 0.3981, 2.2590,-1.577, 0.466,  0.8796,  2.16, -3.631,  0.980, 3.954,  4.0193,  3.519, 5.0472, 4.167, 1.232, 3.2185, 2.2619,  2.791, -1.1293, -1.683, -4.3666,  1.65,  1.272,  1.875, 2.821,  1.6075, 4.837,  3.285, 3.382, 3.711, 0.346, -0.068, -1.8444,-0.203, 3.865, 3.83272, 3.9850, 1.1293, 5.0078, 2.61559,  2.688,  3.244, -0.36, 0.956,  2.5536, 5.604, -1.331, -4.390,  5.149, 0.561
-2.146,-0.502,-3.4039,-3.1396, -2.365, -5.689, -1.875, 0.451,  0.632,-5.07, -2.787,-4.474, -4.608, 0.714,  1.759, -0.916, -2.359, -1.369, -6.053, -6.9348,-0.691, -0.358, -0.241, -0.457, -1.126, -2.248, 0.830,-2.402, -2.684, -1.023, -1.335,-1.754,-0.632,  0.3459, 0.7900,-2.2896, 1.088, 0.105, -0.481, -2.1772, -4.91, -0.590, -5.73, -5.48, -7.138, -9.240, -4.1783,-2.1082,-2.0955,-3.029,-2.712, -3.6167, -3.27, -9.764,  0.007, 2.491,  1.0402, -3.457, 9.1167, 0.107,-1.403, 2.6456, 0.5398,  0.537, -2.0217, -1.678, -4.3026, -9.39, -5.861, -0.172, 0.763, -3.6920, 0.042, -0.510, 0.424,-1.206,-0.558, -1.821, -0.3455,-0.171,-1.524, 4.20413, 2.3087, 0.3683, 3.1670, 1.28990,  0.796, -1.437, -8.38,-3.861,  0.3587, 2.068, -2.967, -5.479, -0.929,-1.201
-3.203,-3.338,-4.1891,-3.7616, -1.417, -8.084, -2.822,-0.103,  1.740,-5.52, -0.494,-4.352, -2.563, 1.087,  5.200,  0.649, -2.216, -3.451, -3.891, -7.4115,-0.972,  0.300, -0.197, -2.079, -3.246, -3.413,-1.093,-4.622, -1.019, -1.334,  0.473,-1.566,-2.677,  0.8602, 2.4990,-3.5638, 0.333, 1.854, -3.570, -4.8202, -8.76, -4.751, -9.74, -3.38, -4.817, -7.800, -6.5882,-4.1524,-4.7372,-3.663,-4.112, -6.2265, -4.58,-13.016,  0.089, 1.864,  0.7074, -7.592,10.4553,-2.841,-2.694, 2.3796,-1.7924, -2.109, -0.4109, -1.074, -2.8422,-16.65, -7.650, -1.267,-1.388, -5.8983,-2.796, -3.807,-2.213,-5.581,-1.613, -2.103,  2.6510, 0.960,-5.067, 2.72928, 0.3712, 0.1934, 0.3224,-0.16749, -2.472, -5.252,-13.18,-5.402, -1.1552,-0.627, -3.125, -6.481, -4.769,-2.319
-0.645,-4.499,-1.1448,-2.5447,  1.456, -6.858,  1.428, 2.963,  7.805, 2.06,  4.186,-0.352,  0.914, 1.698,  2.644, -0.065,  4.479, -0.774,  0.774, -2.0741, 3.618,  3.662,  0.398, -0.425,  0.993, -0.308, 0.104,-3.168, -0.054,  2.329,  7.950, 2.350,-0.868,  0.8011, 2.5214,-1.1689,-0.293, 1.267, -2.692, -2.9333, -5.07, -1.572, -4.91,  1.05, -4.345, -2.737,  0.2201,-2.4255,-1.7829,-2.256,-1.268, -3.1554,  2.14, -8.436,  4.571, 4.928,  6.2648, -2.903, 8.1462,-2.295,-0.114, 3.4541,-2.1924, -2.686,  6.8441,  1.312,  1.0666,-11.17, -0.711,  3.476, 0.192, -0.3317,-0.588, -0.583,-1.221,-5.239,-1.247,  1.549,  7.7986, 2.929,-2.606, 0.76097, 0.2515, 0.6379,-0.1334,-0.50569, -3.036, -3.608,-10.73,-1.117, -2.0841, 1.609, -1.921, -5.702, -0.746, 0.116
 2.114,-4.704, 1.4370,-1.5221,  3.104, -5.814,  4.974, 5.337, 11.544, 7.89,  7.206, 2.902,  3.109, 2.860,  1.535,  1.325,  9.638,  2.937,  3.306,  2.9610, 7.066,  6.505,  2.951,  3.657,  5.087,  2.631, 1.583,-0.225,  0.958,  6.327, 13.984, 6.397, 1.759,  0.6406, 2.7556, 2.3853,-0.206, 1.376,  0.867,  1.3883, -0.88,  2.211,  1.66,  4.69, -3.377,  3.263,  8.3528, 1.2353, 2.2915,-0.169, 1.209,  0.7131,  8.44, -1.491,  7.934, 7.619,  9.7228,  3.748, 5.1350, 0.258, 2.893, 4.1570,-1.9071, -0.774, 12.0066,  4.033,  4.6264, -1.93,  5.725,  8.047, 2.654,  6.6873, 1.704,  2.551, 0.978,-2.454,-0.063,  6.110, 11.4881, 5.747, 1.746, 0.44114, 1.3548, 2.0217, 0.7238, 0.00597, -0.247,  1.073, -5.39, 3.441, -1.9450, 4.912,  1.077, -1.341,  5.293, 3.577
 2.155,-1.310, 0.5117,-2.2070,  0.171, -7.159,  2.771, 3.258,  7.824, 5.95,  4.708, 2.295,  1.867, 2.958,  5.004,  5.482,  6.635,  3.678,  0.432,  4.3954, 5.796,  4.927,  5.996,  7.780,  7.375,  1.149, 2.533, 2.204,  1.985,  8.317, 13.002, 7.584, 3.573,  0.9928, 3.7271, 6.1114, 0.724, 2.808,  4.811,  5.5580,  0.61,  3.856,  6.62,  5.44,  3.335,  9.583, 11.8590, 3.8115, 4.8509, 2.097, 0.527,  2.4331, 11.88,  3.759,  5.253, 7.357,  8.2454,  7.276, 3.0625, 3.782, 4.261, 3.6607,-2.9127,  2.656,  8.4973,  4.616,  5.0981,  5.49,  9.271,  7.314, 3.070, 11.0916, 3.465, -0.575, 2.749, 0.932, 0.612,  9.146, 10.7410, 7.679, 5.536, 1.66450, 3.0562, 4.6399, 1.6077, 1.29104,  3.408,  6.005,  1.17, 6.372,  1.2290, 6.226,  8.817,  6.631,  7.528, 5.101
