ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 2.976, 0.098, 2.758, 1.200,-0.956, 0.443, 3.661, 4.033, 6.4001, 5.29084, 5.403, 4.8974, 4.237, 2.149, 0.230, 2.396, 4.1440, 2.17107, 1.9949, 4.824, 4.830, 5.012, 2.7649, 0.5982, 8.851, 5.359, 1.026, 7.814, 5.368, 9.15073, 6.9518, 4.383, 1.683,-3.870, 0.534, 2.703, 1.6964, 4.514, 5.9857,-1.0915, 4.153, 2.0308,-0.063, 4.442, 3.581, 3.441, 5.9545, 2.5312, 3.323, 6.346, 3.189, 0.527, 1.116, 4.193, 2.6212, 1.277, 2.7552, 3.027, 1.577,-4.307, 1.217, 3.8775,-2.211, 0.220, 4.603, 1.499, 0.13, 1.2197, 3.8e+00, 2.087,-0.16701, 2.808, 3.869, 0.82129,-0.4102, 0.746, 0.477, 7.6750, 5.596,  3.556, 1.5089, 0.0838, 1.914, 2.513, 2.299, 0.553, 1.988,-1.2661, 0.992, 2.104, 4.496,-4.092,-3.444,  0.57, 5.755,-1.926
-0.716,-1.655, 0.640,-1.751,-4.196,-4.207,-0.332,-1.677,-1.5536,-0.49081, 1.402,-0.1954,-2.759,-0.073,-1.311,-1.608,-0.8134, 0.25194,-3.8744,-3.629, 1.056,-0.681,-2.0764,-1.7389, 5.173, 1.717, 1.644, 2.474, 1.393, 3.49727, 2.5436,-1.204,-1.414,-0.041,-0.659,-1.231, 0.9708,-1.492,-2.4501,-1.0793,-3.111,-1.9017,-0.194,-0.751,-1.508,-0.601,-0.8885,-2.6488, 3.912, 0.620, 2.300, 2.259, 1.445,-0.643, 0.1738, 0.146, 3.1259, 1.289, 1.917, 4.049, 3.001, 1.3173, 1.000, 0.640, 0.734,-0.222, 0.70, 1.1814, 5.2e+00, 2.356, 1.73044,-1.915, 4.002, 0.17834, 1.2537, 1.084, 0.908, 4.2924, 3.388,  1.793, 1.5606, 2.1438, 4.533, 0.103,-0.296, 0.576,-1.221,-1.0773,-3.480,-1.898,-0.603,-0.017,-1.920,  0.68,-1.303,-0.447
-1.676,-1.452,-0.723,-2.423,-5.151,-5.569,-0.370,-1.419,-0.3377, 0.69349, 1.409,-0.9677,-3.157,-1.166,-1.589,-2.125,-0.7404, 0.46944,-2.1756,-3.386,-0.546,-0.454,-2.0863,-4.1219, 4.582, 1.573, 1.939, 3.493, 0.796, 2.02026, 1.8319,-0.991,-2.083, 0.941,-1.474,-3.610, 0.4800,-1.580,-3.1062,-2.5033,-3.451,-2.4334,-0.694,-0.617,-0.860, 0.792,-2.0269,-1.9706, 1.703, 2.603, 0.809, 1.005, 0.747, 0.335, 0.0430, 0.189, 3.9771, 2.110, 1.645, 2.180, 2.855, 1.1020, 0.316, 0.968, 0.963, 0.193, 2.07, 1.4452, 3.4e+00, 3.071, 1.70371,-1.919, 1.495,-1.07176, 1.2973,-2.113,-2.138, 1.6537, 1.634,  1.789, 2.1930, 0.5941, 4.612,-0.937,-0.230, 0.217,-0.288,-0.5216,-2.794,-2.257,-0.449,-1.475,-2.516, -0.94,-0.946,-1.731
-2.208,-0.181,-1.161,-2.163,-3.208,-2.850,-0.165,-1.126, 3.7697, 1.59338, 3.618,-0.5780,-0.862, 0.575,-1.802,-0.514,-0.0067,-0.24474,-0.6770,-1.663,-3.328,-1.145, 1.2911,-1.3566, 2.185,-0.021, 1.001, 1.991, 1.596,-1.85068,-0.5178, 2.846,-2.432, 1.708,-0.249,-2.383, 0.7574,-0.415,-0.3841, 0.8419,-3.440, 0.0057, 0.926, 1.127, 3.690, 4.505,-0.0597, 1.6995, 1.336, 3.717, 0.480, 1.221, 2.947, 3.725, 1.6084, 1.081, 4.7986, 4.807, 0.232, 3.402, 3.891, 0.8260, 0.295, 2.109, 1.669, 2.527, 3.94, 2.8747, 1.2e+00, 4.128, 5.37283, 0.634,-0.124,-0.91660, 1.7992,-2.305,-0.376,-1.2035,-0.014,  3.720, 1.2863,-0.5001, 3.248, 0.053, 0.368, 1.102, 2.836, 2.1354, 0.103, 0.992, 2.214, 4.492, 1.912,  4.77, 2.161, 1.526
-2.348, 0.731,-0.531,-1.892,-1.915,-0.650, 0.104,-0.976, 5.8339, 1.79874, 5.015,-0.0321, 0.848, 1.766,-1.968, 0.665, 0.5362,-0.75977,-0.5794,-0.643,-3.751,-1.562, 2.8207, 0.5718, 0.763,-0.783, 0.357, 0.740, 1.898,-3.02065,-1.4128, 3.281,-1.981, 1.775, 0.732,-0.337, 1.2240,-0.068, 0.7375, 3.6462,-2.758, 1.7801, 2.005, 1.939, 5.315, 4.990, 1.0977, 3.1915, 2.211, 3.598, 0.804, 1.499, 4.048, 4.953, 2.5086, 1.440, 4.7388, 6.139,-0.422, 4.936, 4.822, 0.9361, 0.803, 2.406, 2.306, 3.653, 4.34, 3.9447, 4.7e-01, 4.176, 7.35223, 2.471,-0.692, 0.03306, 1.6657,-1.366, 1.381,-2.1143,-0.295,  4.292, 0.3464,-0.1480, 1.672, 1.630, 0.857, 1.560, 4.089, 3.6431, 1.559, 2.683, 3.935, 7.952, 4.761,  9.12, 3.907, 3.878
-2.065, 0.798, 0.576,-1.901,-2.370,-1.131, 0.177,-1.921, 2.1962, 0.38428, 3.272,-1.0550,-0.372, 0.491,-2.987,-0.899, 0.6142,-0.00098,-1.7966,-1.554,-2.601,-1.597, 0.2816,-1.0942, 0.564, 1.546, 0.305, 0.922, 1.220,-1.78096,-0.8248,-1.208,-0.826, 0.931,-0.926, 0.395, 1.8520,-1.202,-2.2666, 2.3091,-1.237, 1.2214, 1.229,-0.668, 1.455, 1.186,-0.1277, 0.1452, 3.604, 2.068, 0.287, 0.237, 1.623, 1.796, 1.6335, 1.295, 3.8667, 4.626, 0.676, 3.923, 4.410, 1.4333, 1.554, 1.380, 2.634, 1.681, 2.82, 3.5801,-1.0e+00, 1.994, 5.03815, 1.853,-0.868, 1.78839, 0.4449,-1.096, 0.991,-3.0000,-0.366,  1.849,-0.4022, 0.7784, 2.356, 2.315, 1.233, 0.871, 2.757, 3.0593, 1.524, 1.808, 2.656, 4.334, 4.371,  7.98, 2.114, 1.338
-1.561, 1.269, 1.083,-1.944,-2.884,-1.987, 0.325,-2.932,-2.0869,-1.73999, 0.649,-2.2304,-2.456,-0.513,-3.660,-3.325, 0.6862, 0.46354,-3.1391,-3.107,-2.357,-1.647,-2.1728,-2.2560,-0.373, 3.505,-0.126, 0.667, 0.184,-1.05640,-0.6265,-3.336,-0.126, 0.197,-2.218, 1.081, 1.8026,-2.095,-4.2710, 0.5488,-0.348, 1.0104, 0.773,-2.902,-1.560,-1.599,-1.0853,-1.9399, 3.868, 0.443,-0.706,-1.323,-1.055,-1.512, 0.9155, 1.197, 3.1036, 2.747, 1.482, 1.682, 2.691, 1.3468, 1.711, 0.417, 2.626,-0.422, 1.43, 2.0622,-3.3e+00,-0.165, 2.54699, 1.592,-0.693, 3.45489,-0.8357,-1.257, 0.520,-3.5041,-0.841,  0.714,-0.8910, 1.0233, 3.849, 3.016, 0.777, 0.361, 2.456, 2.3196, 1.480, 2.044, 1.352, 1.776, 3.601,  5.94, 0.777,-1.112
-1.235, 2.470, 0.317,-2.493,-3.627,-1.988, 0.672,-3.178,-3.8423,-3.54203,-1.509,-2.9599,-4.462,-0.963,-2.885,-4.870, 1.0118, 0.18254,-4.1625,-4.330,-2.790,-1.715,-3.1374,-1.3098,-2.847, 1.682,-0.938,-1.000,-1.070,-0.90980,-0.8490,-0.373,-1.051,-0.336,-1.189, 1.798,-0.0584,-2.139,-2.6209, 0.1841,-0.589, 2.6681, 2.178,-2.367,-1.666,-1.468,-0.8852,-0.5000, 1.895,-0.531,-1.549,-2.187,-1.964,-3.561, 1.1207, 1.147, 2.3270, 1.382, 0.815,-0.506, 0.487,-0.0045, 0.877, 0.217, 2.287,-1.071, 1.15, 0.1704,-3.1e+00,-0.915, 0.91259, 2.627,-0.686, 3.98729,-1.1212,-0.587, 1.279,-1.4518,-0.688,  3.151,-0.9557, 0.2203, 2.864, 4.205,-1.059, 0.720, 3.638, 1.7273, 1.594, 4.952, 1.724, 3.469, 3.514,  5.46, 1.978,-0.592
-1.418, 3.091,-0.678,-2.911,-3.606,-1.600, 0.660,-2.569,-3.4055,-3.80087,-2.949,-3.3733,-5.500,-1.776,-1.743,-4.774, 1.3093, 0.55933,-3.6773,-4.054,-2.698,-1.677,-3.4100,-0.8687,-3.479,-0.826,-0.691,-2.170,-1.936,-0.60724,-1.1572, 1.967,-1.826,-0.421,-0.032, 1.067,-1.4867,-1.977,-0.4432, 0.0782,-0.815, 3.6083, 2.909,-1.102,-1.019,-0.249,-0.5163, 1.0917,-0.580,-0.383,-1.605,-1.975,-1.501,-4.013, 1.1833, 1.338, 1.5880, 0.913, 0.500,-1.504,-0.135,-0.7705, 0.434, 0.293, 1.727,-0.922, 1.17,-0.2273,-1.3e+00,-1.032,-0.50398, 2.555,-0.714, 3.33446,-0.0682, 0.606, 1.575, 1.2569,-0.170,  4.549,-0.5242,-0.5110, 1.076, 3.905,-1.785, 1.014, 3.421, 1.0019, 1.652, 6.553, 1.376, 5.223, 3.726,  4.62, 2.955, 0.357
-1.760, 2.470,-1.095,-1.843,-0.961,-0.572, 0.109,-0.692,-1.5846,-1.63578,-4.261,-2.4352,-4.334,-2.347,-0.529,-3.071, 1.1290, 1.56095,-1.0488,-1.867,-1.307,-0.970,-2.8988,-0.8711,-1.138,-1.458, 1.203,-2.021,-1.929, 0.69577,-0.9919, 1.366,-0.267,-0.227, 0.061,-0.272,-1.4450,-1.514, 0.7573, 0.0377, 0.210, 2.5612, 0.841,-0.749, 0.114, 0.694, 0.8284, 1.3573,-1.628, 1.003,-0.031,-0.084, 0.334,-1.519, 0.8225, 2.060, 1.7716, 1.759, 1.713,-0.235, 1.199, 0.4928, 1.174, 0.115, 1.034,-0.309, 1.46, 1.1712, 4.8e-01,-0.455,-1.17225, 1.648, 0.274, 2.45293, 2.2986, 2.495, 1.097, 3.4320, 0.629,  2.958, 0.9826,-0.2706, 0.946, 1.443, 0.153, 0.580, 1.447, 0.2866, 2.337, 5.439,-0.727, 5.841, 4.426,  3.19, 2.728, 0.114
