ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
-4.042,-2.046,-2.127,-4.0559,-0.527,-2.7648,-1.9529, 0.104,-2.989,-3.4659, 0.2048,-1.131,-2.416,-0.506,-1.185,-1.049,-2.115,-1.538, 0.3867,-1.454,-6.697,-6.2501,-4.658, -4.609, 0.0596,-0.549, 0.214,-2.611,-0.885,-8.5094,-12.221,-13.1052,-3.291,-1.549,-3.446, -6.4093, -0.9135, 0.768,-0.264,-11.441,-1.6041, -2.948,-6.098, 10.48, -5.879,  1.886,-10.502, -6.51,-2.146,-2.541,-3.961,-3.898,-4.54527,-4.260,-1.5101,-0.295,-4.0769, -5.817,-11.224,-4.844, -9.957, -1.023,-1.9997, -0.996,-0.957,-0.3711, 1.538,-3.695,-12.622,-7.760,-8.302, -6.65, 2.125,-1.370, 3.258,-6.767,-4.17394,-10.32,-10.331, -7.005,-4.5017,-1.936,  5.703, -6.46, 5.678, 2.9053,-3.094,-12.1746, -5.222,-6.7549,-2.5e+00, -1.523,-11.720,-10.2893, -8.88,-3.711
-2.059,-2.310,-1.960,-1.9226,-3.617,-0.4309,-0.5094,-1.045, 2.159,-3.4222,-1.7835,-0.792,-6.421,-0.651,-0.616, 2.633,-1.925, 1.083, 0.5801,-2.571,-3.618, 1.7260, 0.607, -7.925,-0.3431,-2.906,-2.295,-3.627,-6.358,-1.5088, -3.549, -7.5813,-0.506, 0.513,-0.402, -4.4857, -2.3967,-0.077,-0.471,  0.828,-2.1570, -3.247,-4.083,  2.26, -3.800, -4.279,-10.196, -0.61,-1.116,-1.219,-0.811,-0.067,-1.96248,-3.077,-1.9180,-3.823, 2.3350,  0.481, -3.343,-2.576,-11.566,  0.760, 0.1321,  4.205,-3.077,-0.4242,-3.306, 1.259, -0.048, 3.917,-0.133, -8.84,-2.089,-7.143,-6.156,-4.899,-8.03188, -1.35, -0.572,-13.734, 0.8549,-3.972, -2.519, -0.69,-0.847,-1.6674, 1.482,  3.5492, -6.242,-3.9652,-1.8e+00, -4.978, -1.343, -2.8383,-15.30, 0.733
-3.882,-0.310,-2.702,-3.6105,-5.802,-2.6887,-0.5646,-2.259, 3.458,-1.5717,-3.5240,-2.780,-6.000,-0.337,-1.264, 2.217,-2.657,-0.409,-2.3039,-3.574,-4.632, 0.4571, 1.780, -5.517,-0.2208,-5.462,-2.475,-5.275,-8.192,-2.2549, -1.807, -6.4365, 0.135, 0.836, 1.997, -2.9022, -0.1223,-0.845, 1.298,  2.738,-2.1317,  0.157,-1.348,  9.25,  6.264,  0.704,-10.220, -1.04,-2.146,-0.490,-0.211, 0.014,-1.78882,-2.794,-1.5173,-1.625, 4.5653, -0.399, -3.508,-3.857, -7.017, -3.054,-0.4368,  2.127,-3.383,-1.5049,-4.275, 2.839,  1.341, 4.896, 1.628, -1.97,-1.810,-7.925,-6.217,-6.093,-9.65975, -0.27,  3.307, -8.588,-0.4756,-3.709,  2.305,  3.49,-1.613,-1.7251, 4.114,  7.6856, -5.096,-2.9969, 7.2e-01,  1.416,  2.180, -1.0645,-10.41, 2.328
-1.521,-2.773,-1.337,-2.7957,-5.486,-3.6552, 1.0085,-2.977, 2.920,-3.0745,-1.9562,-2.906,-1.575, 0.961, 0.410, 0.700, 0.116, 1.083,-1.0714,-1.619,-3.319, 0.0407, 2.748,  4.867,-0.1779,-3.018,-2.584,-1.739,-1.790, 0.8302,  3.088,  1.3414,-2.406,-0.438, 1.231,  4.2264,  1.1197, 0.204, 3.236,  6.961,-3.0168, -2.519,-0.894,  7.64,  4.764,  5.047,  1.347,  1.51,-0.115,-1.243, 1.178, 1.067,-0.39366,-1.073, 0.8358,-3.825, 2.3297, -2.733, -1.460,-3.817,  2.012, -5.449,-0.1944,  1.064, 0.248, 1.2172,-0.060, 4.522,  4.936, 5.737, 3.575, 10.55,-0.555,-2.052,-6.143,-0.351,-1.83754,  3.23,  8.996,  5.081,-1.5422,-3.307, -1.395,  7.10,-2.568,-1.6363, 4.024,  9.1787, -0.261,-4.6045, 6.9e-01,  2.437, -0.878,  1.7014,  6.58, 3.031
 0.022,-4.643,-0.774,-2.3909,-4.847,-4.0767, 0.7186,-3.250, 2.308,-3.1151,-0.6167,-2.653, 1.387, 1.583, 1.149,-0.955, 0.996, 0.353,-1.3355,-1.192,-2.821,-1.9577, 2.146,  8.992,-0.0630,-1.536,-1.920, 0.911, 3.208, 2.0808,  4.339,  4.3578,-3.790,-2.641, 0.103,  8.1658,  2.4843, 0.872, 2.915,  9.115,-2.8936, -3.236, 0.764,  1.70, -0.298,  5.374,  7.063,  3.23, 0.426,-1.369, 0.593,-0.326,-0.57897,-1.913, 1.1607,-5.519, 0.3070, -3.267,  0.173,-3.602,  8.029, -5.951,-0.1242,  1.371, 1.664, 1.0244, 2.185, 3.376,  5.293, 3.400, 4.426, 14.40,-0.194, 1.627,-4.970, 2.901, 4.24492,  4.06,  8.982, 10.699,-1.9209,-3.566, -4.538,  7.28,-3.270,-1.6434, 2.909,  8.5375,  1.913,-3.8699, 1.2e+00,  1.206, -1.961,  4.4396, 15.58, 3.100
-1.300,-2.151,-2.210,-3.4453,-5.309,-4.2539,-2.4308,-2.089, 3.077,-1.1697,-0.5227,-2.756, 2.484, 0.870, 0.359,-1.300,-1.715,-4.558,-4.1140,-2.586,-4.449,-5.7610, 1.271,  5.050,-0.0833,-3.623,-0.983, 0.327, 2.749,-0.6819,  0.126,  2.1154,-2.973,-4.139, 1.362,  5.8604,  1.6196, 0.716, 1.456,  8.125,-2.1066,  1.326, 2.337,  2.40, -0.239,  5.836,  3.362,  3.14,-2.310, 1.547,-2.383,-3.885,-3.24085,-5.332,-0.9906,-4.322, 0.1884, -0.814, -1.108,-3.454,  9.249, -5.937,-0.6456,  4.590, 0.210,-3.5143, 0.801,-1.806, -0.332,-2.967, 5.849,  9.64,-1.971,-1.092,-2.805,-0.404, 3.57055, -0.88,  0.873,  8.632,-3.8309,-5.350, -0.868,  4.72,-4.421,-2.6033, 2.219,  7.6773, -1.118,-1.1622, 2.5e+00,  5.564,  6.095,  8.9450, 13.22, 2.789
-1.591, 2.468,-2.708,-2.7813,-4.492,-2.4404,-4.4887, 0.082, 3.052, 0.0112,-0.4981,-1.980, 3.195, 0.252, 0.440,-0.597,-3.994,-7.949,-4.4072,-1.381,-3.968,-6.7203, 0.534,  0.388, 0.1935,-4.156, 0.118, 0.067, 1.620,-2.5398, -3.173,  0.8287,-1.282,-2.838, 3.005,  1.5215, -0.2771, 0.091, 0.422,  4.234,-0.5502,  6.306, 2.502,  8.88,  4.598,  8.123, -1.460,  1.07,-3.456, 5.738,-3.822,-4.557,-3.74503,-4.983,-2.0117,-1.753, 0.8016,  2.400, -2.578,-2.079,  8.679, -6.154,-0.6611,  6.237,-0.405,-6.4428, 0.188,-4.279, -3.870,-6.733, 5.864,  4.17,-3.507,-3.704,-0.259,-2.995, 1.29233, -4.95, -5.443,  5.152,-5.0939,-5.194,  4.445,  1.52,-5.299,-3.7681, 0.536,  4.7947, -2.002, 2.6257, 4.3e+00, 11.670, 13.466, 11.7533,  8.93, 1.410
 1.134, 6.653,-0.664, 0.9376,-0.743, 2.1867,-4.0073, 1.817, 0.162, 0.6908,-1.0038,-0.210, 1.546, 0.187, 1.174,-0.170,-4.751,-7.542,-2.3746, 2.318, 0.896,-3.1738,-2.127, -6.439, 1.1114,-1.175, 2.086, 1.533, 0.901,-1.6602, -3.684, -2.4705, 2.000,-0.266, 0.478, -4.6017,  0.6711,-2.451,-2.320, -3.748, 3.9672, 10.071, 3.510, 11.87,  7.485,  4.857, -7.364, -4.08,-0.841, 8.974,-1.875,-1.598, 0.17531, 0.645,-1.3882, 1.773, 2.5433,  6.806, -1.625, 0.991,  5.446, -5.231,-0.3057, -0.115,-0.370,-6.3692,-0.023,-1.067, -1.460,-5.508, 0.045, -5.75,-3.252,-3.893, 2.748,-1.041,-0.58291, -4.14, -6.213, -6.440,-2.2747,-3.615,  6.407, -3.47,-4.228,-4.5728,-4.073, -3.1974,  3.060, 9.7908, 7.5e+00, 14.027, 11.850,  7.8853,  0.51,-1.691
 3.129, 7.886, 1.179, 3.0386, 2.547, 4.8877,-2.5359, 2.277,-1.969, 1.7105,-1.3208, 1.063,-0.790, 0.099, 0.932,-0.571,-3.953,-6.370,-1.9165, 3.474, 4.145,-1.0260,-4.670,-11.343, 1.4194, 1.959, 3.852, 2.876, 1.023,-0.5217, -3.245, -6.8754, 4.720,-0.326,-2.739, -8.4790,  2.2365,-4.155,-5.267,-10.162, 8.3854, 12.134, 5.058,  8.50,  5.219, -0.275,-10.271, -7.82, 0.939, 9.570,-0.059,-0.057, 3.73462, 3.366,-0.8755, 4.058, 4.2464, 10.797,  0.198, 3.679,  2.178, -2.989,-0.5273, -7.317,-0.406,-5.7769,-1.002, 0.549, -0.014,-4.677,-5.905,-14.15,-1.928,-3.377, 4.494, 1.936,-0.04564, -2.29, -5.483,-15.353, 1.4093,-2.439,  5.421, -7.38,-3.285,-4.7811,-7.913,-10.6218,  6.931,14.7534, 9.5e+00, 14.757,  7.814,  4.5329, -7.96,-4.325
 2.774, 5.897, 1.786, 1.5850, 3.946, 3.2794,-0.0480, 2.384, 0.436, 3.2861, 0.6200, 1.893,-0.700,-0.100, 0.368,-0.648,-0.577,-5.469,-2.3600, 1.083, 1.804,-2.8841,-3.432, -7.322, 0.8044, 4.747, 2.713, 3.262, 2.858,-0.0898, -1.908, -6.7390, 4.538,-1.546,-0.769, -5.5687,  1.3721,-0.963,-4.018,-10.025, 7.8213, 10.641, 4.645,  3.48,  2.305,  2.076, -4.714, -6.46, 0.199, 7.333, 0.195,-1.033, 4.64028,-0.221,-0.1227, 3.737, 4.4412, 11.979,  0.938, 5.224,  2.358, -0.325,-0.8117, -7.796, 0.421,-4.7785,-1.408,-3.032, -3.419,-6.082,-5.420,-11.38, 0.670,-1.040, 1.910, 3.484, 3.91644, -2.23, -4.186, -7.334, 2.5897, 1.064,  3.156, -6.27,-4.538,-3.8521,-7.287,-12.5920,  4.167,11.4932, 8.0e+00, 14.261,  8.206,  9.0270, -8.19,-4.823
