ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
-0.062,-0.4819, 0.0849, 0.968,-2.457,-2.5535, 0.17180, 0.927, 1.067, 0.397,-1.479,-0.754,-0.2187, 0.4139, 0.125, 5.040, 0.543, 1.0167,-0.503, 0.4817, 0.402, 2.951, 2.9291, 2.482, 1.961, 1.152, 0.8743, 2.0321, 1.3520, 1.435, 4.672, 3.766,-0.1165, 5.768, 2.7609, 3.203, 4.665, 2.723, 2.8e+00, 4.285, 0.0151, 0.523,-3.137,-0.014,-2.3361, 2.211, 3.887, 1.0068, 0.923, 0.9203, 0.4123,-0.9221,-2.9376,-2.155,-0.59045,-1.08173, 0.086, 1.502,-2.339,-0.948,-1.064, 1.771,-0.8671, 2.8533,-0.134,-0.0256,-2.0606,-0.0520, 1.140, 2.484, 2.1243,  0.321,-0.9717, 0.242, 5.445, 0.848, 0.221, 1.091, 3.0828, 3.789,-0.609,-0.834, 4.8680, 0.7623,-0.154, 2.3882,-1.878, 1.021, 4.3874,-0.6945,-3.383, -0.3701, 0.991, 0.627, 5.686, 3.852
-2.479,-1.0235,-1.3162,-2.595,-4.891,-2.2987,-1.21061,-2.636,-1.537, 0.344,-1.723,-3.941,-1.6864,-1.0296,-1.322,-3.727,-0.976, 2.0355,-3.236, 0.6167,-1.721,-1.396,-0.1895,-4.901, 1.168,-1.772, 0.2261,-0.2591,-0.6437,-1.242,-1.349,-3.360,-2.3850,-4.235,-1.6942,-5.718,-0.579,-2.377,-3.0e+00,-2.840, 0.4165,-1.353,-0.630,-3.924,-6.0017,-3.398,-3.675, 0.7396,-0.651,-0.7426, 0.6292,-0.6673, 0.0783, 1.304, 0.36499,-0.11655, 0.612, 0.488,-0.667, 1.213, 3.742,-1.079, 1.3906,-1.5617, 0.139, 1.0868, 0.6873, 2.8779, 0.933, 0.487, 3.8565,-11.028,-0.6743,-0.145,-1.082,-0.288,-0.415, 0.119, 1.2646,-1.931, 0.719, 0.562, 0.7639,-6.7854, 2.112, 0.2789,-1.635,-4.769,-1.3486,-1.1729,-2.969, -1.0067,-1.983, 2.184,-8.167,-0.742
-3.259,-1.5232,-1.9388,-3.149,-4.716,-2.9268,-1.66671,-3.537,-2.990,-0.436,-1.942,-4.055,-2.1959,-2.0235,-0.860,-6.183,-1.236, 1.7711,-3.019, 0.6400,-2.738,-3.625,-4.1078,-3.633, 0.963,-0.488,-0.0012, 0.2471,-0.2363,-2.403,-3.510,-3.691,-2.1373,-5.435,-2.5259,-6.088,-1.077,-4.385,-5.9e+00,-6.938, 1.0674,-1.980,-1.342,-6.085,-3.8396,-5.090,-5.982,-2.1102,-1.740,-1.5758,-0.5500,-1.9386,-0.5174, 0.740, 0.81156,-1.02118, 0.586,-1.244,-1.997,-1.636, 2.180,-2.390, 0.7893,-2.1650, 0.185, 0.8392, 0.9371, 2.7877,-0.342,-1.721,-0.0303, -9.163,-0.6179, 1.013,-2.767,-0.547,-1.276,-1.181,-0.7946,-2.978, 0.722,-0.569,-0.7253,-6.9447, 1.188,-0.3667,-3.200,-7.136,-0.6285, 1.4827,-0.844, -5.1752,-3.845,-0.024,-8.578,-3.741
-0.774,-1.7405, 0.1278,-0.652,-0.423, 0.3281,-0.08718,-1.967,-1.736,-1.318,-0.606,-0.803,-1.6597,-0.2075,-0.582,-4.496, 0.221, 1.3092,-0.059, 1.0533,-0.090,-2.432,-4.0354, 0.539, 0.710, 1.858, 0.2388, 1.4779, 1.6058,-0.239,-1.131,-0.439,-0.6237,-3.106,-3.0124,-1.077,-0.481,-2.292,-3.8e+00,-5.518, 2.1619,-0.116, 1.660,-4.334, 1.4549,-3.262,-3.322,-1.4012,-0.632, 0.1104,-0.1595,-1.3961, 0.8066,-0.078, 1.13950,-0.69929, 2.057,-0.174,-1.854, 0.202, 1.267,-0.959, 0.8687,-1.3203, 1.139, 0.9259, 3.3055, 1.4737, 0.829,-1.576,-2.0230, -1.232, 1.4657, 2.327,-1.306, 0.338, 1.563, 0.412,-0.1626, 1.962, 0.389,-1.117,-3.3661,-1.1820, 0.503,-0.3974,-1.556,-3.462, 0.8471, 2.0266, 1.641, -1.7420,-1.095, 1.051,-2.449,-1.474
 1.425,-1.1299, 1.7115, 1.522, 3.079, 2.7902, 1.06465, 0.054, 0.057,-1.614, 0.745, 1.656,-0.3762, 1.3402,-0.538,-1.483, 1.205, 0.8980, 2.439, 2.0672, 2.215,-0.492,-1.8892, 2.718, 1.269, 2.469, 0.5244, 1.9438, 2.8133, 0.826, 0.090, 1.906, 0.6663,-0.112,-2.1209, 2.691, 0.749, 0.384,-2.2e-01,-2.309, 2.2705, 0.834, 3.322,-0.580, 3.3499,-1.354,-0.669, 0.3667, 0.693, 1.7947, 0.6487,-0.0527, 1.9633,-0.015, 1.14658, 0.26297, 2.982, 1.962,-0.714, 2.528, 1.139, 0.823, 1.5718, 0.1405, 1.613, 1.1878, 5.1646, 0.8142, 2.297,-0.268,-2.1136,  4.611, 3.3516, 1.525, 0.029, 0.912, 3.041, 1.126, 0.3187, 4.354, 0.252,-1.007,-3.2346, 3.2052, 0.427, 0.2653, 0.467, 0.819, 1.6313, 0.7525, 2.339,  3.4733, 1.924, 2.149, 2.156, 1.589
 2.123, 1.7758, 2.1271, 2.370, 1.707, 1.9465, 1.50254, 0.710, 1.474,-0.351, 1.867, 1.800, 0.7823, 1.2847, 0.175,-0.197, 1.891, 1.6694, 3.138, 4.1843, 2.952, 1.228,-0.0485, 1.591, 1.949, 2.629, 1.0029, 2.8101, 3.6697, 0.439,-0.975, 2.340, 1.0309, 0.706,-1.8264, 2.092, 2.200, 1.482, 7.1e-01,-0.459, 1.2802, 1.238, 3.988, 4.440, 0.5969,-0.182, 0.223, 1.6259, 1.854, 3.1985, 1.9107, 2.0034, 2.4345, 1.461, 1.63850, 1.14327, 2.286, 3.987, 1.294, 3.190, 1.963, 0.991, 2.8402, 1.2117, 2.336, 3.4459, 5.7168, 2.5546, 4.618, 2.169,-0.8322,  4.115, 3.4407, 0.663, 0.183, 2.319, 2.910, 0.625, 0.4634, 2.951, 0.637,-0.879,-1.5405, 2.7941, 0.763, 0.8768, 0.697, 2.136, 2.5651,-0.1046, 3.101,  6.9526, 3.502, 2.743, 2.779, 3.932
 2.281, 3.4849, 2.1205, 2.406, 0.169, 0.5619, 1.66397, 0.476, 2.091, 0.250, 2.417, 1.421, 1.2049, 0.6466, 1.320,-0.249, 2.206, 1.5764, 2.433, 4.2928, 2.873, 2.039, 0.7986,-0.444, 1.682, 3.440, 1.2694, 3.5672, 4.2192, 0.748,-0.600, 1.170, 0.9345, 0.507,-2.1206,-0.023, 3.307, 1.818, 2.0e-01, 0.472, 0.3842, 1.535, 4.618, 6.226, 0.1982, 1.824, 0.130, 1.8071, 2.366, 3.5996, 2.6436, 3.4768, 2.2064, 2.459, 1.98669, 1.13573, 2.167, 4.050, 1.952, 2.586, 2.191, 0.516, 2.7858, 0.4315, 2.583, 4.6375, 4.1373, 3.2740, 6.090, 3.380, 0.0757,  1.060, 3.4268, 0.371, 0.324, 3.126, 2.462, 0.676, 1.3685, 0.566, 0.497,-0.882,-0.9033, 0.8566, 1.271, 0.7596, 0.050, 2.255, 3.3511, 0.4041, 4.194,  6.7139, 4.153, 2.787, 1.639, 4.274
 1.268, 0.2309, 0.4101, 0.506, 1.380,-0.7673, 0.52372, 0.032,-0.608,-2.882, 0.897, 0.371, 0.6338,-0.2796, 2.121,-0.428, 0.551,-1.9542,-0.057, 0.1574, 0.510,-0.013, 0.7683,-2.858, 1.043, 3.062, 0.6848, 1.8449, 3.2170, 0.275, 0.278,-3.266, 0.4549, 0.092,-1.4317,-2.562, 4.186, 1.786,-4.5e-05, 0.918,-1.3474,-0.988, 1.278, 2.723, 2.0944, 2.622,-1.358,-0.3041, 0.551, 0.6133, 0.9326, 2.5025,-0.3697, 0.764, 0.46075,-0.45889, 2.893, 0.128,-1.748,-1.237,-1.599,-0.581, 0.1478,-3.0126,-0.024, 0.4205,-1.3900,-0.9241, 2.508, 0.018,-1.1581, -3.154, 4.2440,-2.438, 0.651,-0.480,-0.336,-0.510, 1.0671,-5.075,-2.303,-1.282,-1.6414,-1.9071, 1.186,-0.3907,-1.142, 0.880, 1.5451, 0.1481, 2.873,  0.5103,-1.154,-2.163,-2.512,-0.021
 0.268,-2.3313,-1.3925,-1.027, 2.585,-1.5984,-0.50509,-0.463,-2.982,-5.627,-0.865,-0.475,-0.2987,-1.6160, 2.210,-0.931,-0.943,-4.6593,-1.947,-2.8337,-1.248,-2.160,-0.2775,-3.595, 0.568, 1.800, 0.0520,-0.1743, 2.0843,-0.168, 0.332,-6.507,-0.1250,-0.160,-1.0358,-3.754, 3.748, 1.131,-8.9e-01,-0.132,-2.5526,-2.872,-1.725, 0.220, 3.0115, 2.006,-2.800,-2.9003,-1.102,-1.9066,-0.9882, 1.0592,-2.3334,-1.093,-1.17562,-1.73973, 2.188,-3.138,-4.056,-4.434,-4.074,-1.406,-1.7217,-4.3434,-2.246,-3.6181,-4.9978,-3.9213,-1.104,-3.474,-3.0415, -5.408, 4.4670,-5.036, 1.143,-3.857,-2.620,-1.293,-0.0438,-9.233,-4.203,-1.826,-2.2410,-3.7744, 0.608,-1.2624,-2.107,-1.449,-0.6899,-0.6353, 0.663, -3.6024,-5.818,-6.025,-5.530,-5.033
 0.321,-0.1729,-1.1273,-0.376, 1.780,-1.3099, 0.00054,-0.419,-1.009,-3.953,-0.950,-0.041,-1.3675,-3.2037, 1.760,-2.268,-0.111,-2.6727,-1.383,-1.6332,-0.442,-1.936,-1.2402,-1.735, 0.022, 0.896,-0.0376, 0.0687, 2.5011, 1.007, 0.179,-5.576,-0.3399, 0.706,-0.6528,-2.908, 1.359,-0.350,-2.0e+00,-2.235,-1.1436, 0.292, 1.750, 0.559, 4.0697, 1.566,-2.970,-3.4444,-0.321,-0.6865,-0.7319, 0.7477,-0.6971,-0.785,-0.85522,-0.54922, 0.348,-2.344,-0.049,-2.437, 0.729, 0.217,-0.6933,-0.9181,-0.745,-1.9054,-1.6562,-0.4662, 0.488,-2.488,-2.3262, -3.975, 3.6038,-3.650, 0.466,-2.011,-0.901, 0.892, 0.0015,-6.973,-0.976,-1.428, 0.9966,-2.6629, 0.640,-0.3380,-0.802,-2.227, 0.2232, 0.4337, 0.381, -0.2285,-0.938,-1.332,-4.194,-6.787
