ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96
 2.249, 2.316,-0.247, 1.3740,-0.184, 1.090,-0.968, 4.320,  1.8631, -0.868,  5.687, 3.763, 2.783, 1.1854, 4.8238, 0.536, -1.142, -1.0585, -4.078, -3.729, 1.2624,  2.277,  2.765,  3.633, -9.00, 0.9118, 3.09592,-4.353,-7.40902, -1.752, -1.537,  5.8647, 4.9710,  4.241, 6.287,  2.808, 2.894, 4.389, -0.089,  4.630, 1.52,-1.943, -0.542, 10.144, 2.442, -1.4503,  2.323,  6.888, 0.455,  0.900,-2.356, 0.624,-4.063, 0.661,-0.3424, 7.004, 4.462, 0.473,  1.4225, 4.161, 0.2370, 8.048, 3.031,  3.280,-1.4254, -0.584,-5.06, -5.516,-4.593,  1.332,  1.61,  2.33, -4.88, 0.418,-1.012, -2.1930,-6.0833, -1.64, -3.22,  7.405, 3.288, 4.885,  8.408,  3.954, 4.9494, 4.610,-0.841,  2.184, 5.615, 0.0662, 1.8e+00,  3.907,  1.418,  4.972,  4.73, 2.69
-1.278,-1.613,-0.483,-2.3671,-0.081,-0.796,-2.764,-0.140, -1.8858, -4.650,  1.824,-1.883, 0.996,-1.2798,-1.5527,-1.572, -2.572, -3.4033,  1.163, -4.584,-2.8404, -3.338, -7.093, -3.079, 10.24, 2.6670,-0.83094, 4.392, 2.30098,  0.957, -3.582, -3.8854,-1.1111, -5.505, 0.221, -6.077,-1.086,-3.387, -3.881,-12.943,-2.75,-2.696, -2.713,  6.205, 4.787,  0.9973, -3.041,-11.483,-2.067,  1.551,-0.986,-1.359,-1.573,-4.375,-2.1978,-2.830,-5.637,-4.553,  0.3433,-3.101,-6.0855,-3.711, 0.382, -6.461,-3.4484, -1.374,-0.99, -6.783,-3.562, -6.356,-11.73, -8.26,  7.08,-3.578,-1.916, -1.5722,-1.8946, -2.02, -6.84,  2.774,-1.237,-1.862, -1.534, -5.393,-4.3304,-1.913,-4.798,-14.837,-3.976,-4.9339, 3.5e-02,  1.481,  0.526, -1.203, -4.38,-8.25
 0.632, 0.748, 1.620, 0.2200, 2.068, 2.009,-0.736, 2.366,  1.3165, -2.273,  5.712, 0.563, 1.432, 0.1098,-0.3856,-0.112, -1.411, -0.8571,  2.165, -2.214,-1.1740, -0.632, -4.551,  0.543, 13.43, 4.1890, 0.69592, 7.002, 3.29739,  3.387, -2.444, -0.8058, 1.8340, -1.572, 4.276, -1.997, 0.987,-0.309, -1.553,-11.370,-1.74,-2.237, -3.051,  8.536, 4.828,  1.3355, -1.749, -7.887,-1.142,  2.721,-0.231,-0.767,-0.130,-2.294,-0.2400, 0.573,-3.741,-2.466,  1.4849,-2.038,-7.0076, 0.590, 0.606, -4.340,-2.5874, -1.189, 0.83, -6.079,-3.858, -5.377, -8.39, -2.43,  8.32,-0.580, 0.832, -0.0203,-0.9799, -0.67, -5.77,  5.489, 1.043, 0.068,  4.280, -1.322,-1.3174, 0.453,-0.978,-11.705,-3.966,-4.4824, 2.2e-01,  5.792, -0.287,  0.803,  1.97,-5.47
 3.587, 4.909, 4.629, 6.3894, 6.653, 8.448, 3.594, 4.187,  8.1986,  1.837,  6.239, 2.003, 3.187, 1.7027,-0.1185, 2.593,  1.943,  3.6697,  5.546,  3.631, 2.4358,  4.475,  1.078,  4.764, 11.30, 6.6130, 0.69139,10.021, 6.06139,  6.574,  0.936,  1.0169, 5.1667,  2.174, 2.491,  2.675, 3.245, 2.020,  1.120, -6.078, 5.08, 3.362, -0.152,  3.355, 4.777,  1.9935,  0.279, -0.420, 1.741,  4.913, 1.393, 0.403, 2.371, 3.789, 1.7458, 1.616, 2.682, 2.399, -0.2210,-0.776,-2.4835, 5.135, 0.557, -1.159,-1.4070, -0.250, 2.98,  0.174,-2.359, -1.972, -4.96,  7.85,  6.96, 4.879, 0.227,  5.1657, 3.6903,  3.88, -2.45,  4.783, 5.765, 2.377,  6.337,  4.409, 3.5555, 1.750, 0.844, -4.873, 1.427, 1.2041, 1.9e+00,  3.709,  3.084,  2.780,  8.85,-1.09
 5.454, 7.454, 5.869,10.2516, 9.780,12.424, 6.978, 5.499, 11.6626,  4.823,  5.252, 2.052, 3.949, 2.3601, 0.0899, 5.211,  4.535,  7.4323,  8.685,  7.875, 3.9993,  7.939,  6.085,  7.843,  8.97, 7.9041, 0.87564,10.809, 7.86130,  6.720,  2.562,  1.8947, 7.0958,  4.485, 0.983,  5.596, 4.841, 3.561,  2.730, -0.847,10.34, 8.116,  3.184,  1.551, 5.834,  3.0914,  1.720,  5.084, 3.670,  6.699, 2.295, 1.259, 3.911, 7.820, 3.3859, 2.196, 7.059, 5.439, -1.0541, 0.031, 1.5392, 6.183, 0.745,  1.763, 0.4291,  1.349, 6.15,  5.741,-0.584,  1.173, -1.75, 13.65,  6.07, 8.241, 0.383,  8.2571, 7.2831,  5.71, -0.29,  3.169, 7.632, 3.570,  7.077,  7.995, 6.0767, 1.943, 1.629,  0.473, 5.196, 6.8627, 4.3e+00,  4.475,  7.869,  5.643, 11.06, 2.34
 4.406, 4.905, 4.551, 8.7211, 7.228, 9.526, 8.095, 3.011,  6.0371,  4.506,  3.087, 1.489, 2.328, 1.1471, 0.5175, 6.443,  5.420, 10.1866,  9.539,  8.837, 2.5376,  8.100,  9.480,  8.125,  6.87, 6.8538, 0.00056, 5.903, 4.08156,  3.120,  1.589,  4.2158, 4.3261,  4.652, 0.505,  6.433, 4.682, 3.327,  2.401,  2.958, 7.12, 6.602,  3.288,  0.687, 3.033, -0.1391,  1.316,  6.881, 2.435,  3.797, 1.558, 1.390, 2.161, 5.459, 4.1880, 0.314, 4.754, 4.054, -0.0242, 0.422, 2.3237, 2.483, 1.570,  3.591, 3.2305,  3.862, 9.43,  7.164, 1.249,  3.445,  2.77,  9.95,  6.79, 7.969, 1.008,  6.1873, 5.7105,  3.28,  0.44,  2.317, 1.870, 1.817,  4.416,  6.928, 3.1387, 1.221, 1.126,  3.139, 3.200, 7.6523, 6.1e+00,  6.770,  8.675,  6.610,  6.64, 4.25
 2.567, 0.853, 2.998, 5.7916, 3.015, 5.257, 7.315,-0.143, -0.3276,  2.051,  0.736, 0.440,-0.061,-0.1393, 0.5563, 5.994,  4.958, 11.2655,  8.775,  8.156, 1.1396,  6.460, 10.659,  5.144,  3.25, 4.3165,-1.50989, 0.696,-0.26380,  0.459, -0.251,  4.4842, 0.3582,  3.698,-0.720,  5.551, 3.682, 2.090,  1.831,  5.877, 2.29, 3.542,  1.795, -3.187,-2.244, -5.7082, -1.105,  7.167, 0.965, -0.104, 0.547, 1.253, 0.128, 2.335, 3.7332,-2.643, 0.881, 1.213, -0.0245,-0.201, 1.1955,-0.801, 1.689,  4.172, 4.4031,  5.877,10.41,  6.291, 2.102,  4.616,  6.22,  2.98,  6.00, 5.763, 0.391,  3.4762, 3.0869,  0.87,  0.25,  0.033,-3.315,-0.217, -0.714,  3.459,-0.5928, 0.280,-0.202,  4.478, 1.217, 5.5286, 6.0e+00,  5.327,  6.555,  4.662,  0.88, 4.94
 1.164,-1.287, 1.553, 3.0518,-0.721, 1.636, 3.318,-0.572, -3.3914, -3.726, -1.968,-3.062,-4.114,-0.7524, 0.1343, 2.930,  1.133,  7.3142,  4.817,  3.174,-3.4702,  0.096,  6.157, -3.510, -0.95,-0.1188,-0.80219,-2.144,-2.49560, -3.071, -6.789, -2.9191,-1.0978,  2.082,-2.086, -0.285, 1.503, 0.206, -0.075,  4.821, 0.59, 0.223, -2.055, -7.903,-6.334,-10.4135, -8.696,  3.094, 0.625, -2.500,-0.165, 1.057,-0.286, 0.535, 1.3854,-2.518,-1.919,-3.981, -1.0180,-3.066,-3.7155,-2.806, 0.282,  2.847, 1.5495,  5.705, 8.18,  1.682,-1.295,  2.286,  4.95, -6.84,  3.04, 1.840, 0.735,  2.0762, 1.7797, -3.64, -5.74, -6.196,-2.473,-0.725, -4.922, -3.755,-3.2136,-0.929,-3.120,  1.929, 1.779, 0.3922, 2.8e+00,  2.041,  2.512,  0.415, -8.09, 2.13
 1.239, 0.232, 0.877, 1.8326,-1.562, 0.296, 1.060,-0.046, -2.5103, -4.889, -3.027,-4.213,-5.857,-0.4323, 0.1880, 0.291, -0.688,  3.9527,  1.919, -0.735,-6.6904, -4.049,  1.632, -9.140, -1.76,-2.5757, 0.98227,-3.074,-2.60853, -3.968,-10.227, -8.6216,-0.0092,  0.930,-2.286, -5.161,-0.330,-1.349, -1.665,  2.587, 0.99,-0.957, -3.061, -9.386,-5.629, -9.7123,-12.924, -0.973, 1.401, -2.525, 0.251, 1.138, 1.179, 0.093, 0.3787,-0.372,-2.253,-6.087, -0.0918,-3.669,-6.6494,-3.821,-0.845,  1.544,-0.1283,  4.796, 5.95, -1.959,-4.007,  0.664,  3.21,-12.10,  2.77,-0.220, 2.088,  2.5197, 2.3705, -5.33, -9.23,-10.406,-0.196,-0.407, -4.953, -8.956,-4.0160,-1.278,-5.025, -1.129, 2.546,-2.0250, 9.2e-01,  2.235,  0.283, -1.290,-13.51,-0.31
 2.958, 4.518, 2.118, 2.8119, 2.680, 2.461, 3.413, 1.826,  3.4777,  3.443,  0.960, 0.430,-0.709, 1.9315, 1.0633, 0.742,  2.401,  4.3804,  3.747,  0.995,-2.5016,  0.299,  2.660, -5.032,  2.55,-0.3536, 1.25144,-0.389, 0.99476,  1.442, -3.649, -6.6704, 2.7367,  1.148, 1.760, -2.494, 1.026,-0.780,  1.171,  3.423, 2.94, 3.109,  4.341, -1.754, 1.594,  0.8036, -6.313,  0.503, 3.327,  1.674, 2.912, 1.730, 4.324, 1.641, 2.4971, 1.918, 0.574, 0.095,  2.7447, 0.591,-2.1248,-1.689,-0.743,  1.767, 2.0581,  3.181, 3.58, -1.162,-2.163,  2.292,  3.75, -6.35,  5.28, 0.752, 2.029,  3.8503, 4.8045,  0.47, -2.92, -9.989, 1.036, 0.797,  0.836, -5.608,-1.4451, 0.464,-1.822, -0.323, 2.234, 1.7544, 1.7e+00,  5.355,  0.606, -0.817, -8.82, 0.80
